sigma,half_logarithmic_clock,half_energy_rank,rank_defect,hilbert_schmidt_energy,energy_defect,linear_row_half_energy_rank,linear_row_rank_defect,linear_row_hilbert_schmidt_energy,linear_row_energy_defect,last_singular_above_threshold,first_singular_below_threshold,threshold
3.1622776601683795e-10,21.11670795573438,19,-2.1167079557343804,19.261900748446656,-1.854807207287724,20,-1.1167079557343804,19.562997885369562,-1.5537100703648186,0.9999958794296998,0.42340229449935907,0.7071067811865475
1.778279410038923e-10,21.672410796674757,20,-1.6724107966747574,19.808663662832643,-1.8637471338421143,20,-1.6724107966747574,20.165518948281544,-1.506891848393213,0.8764297297969457,0.16036608734706487,0.7071067811865475
1e-10,22.228113637615138,20,-2.228113637615138,20.355738135833747,-1.8723755017813914,21,-1.228113637615138,20.68312292674826,-1.5449907108668768,0.9999998996252583,0.5166317036049901,0.7071067811865475
5.6234132519034906e-11,22.783816478555515,21,-1.783816478555515,20.93637253743841,-1.8474439411171062,21,-1.783816478555515,21.263340318261427,-1.5204761602940877,0.9412173846987946,0.2084633860170318,0.7071067811865475
3.1622776601683794e-11,23.339519319495892,21,-2.339519319495892,21.453983649205227,-1.8855356702906647,22,-1.339519319495892,21.8106231704349,-1.5288961490609907,0.9999999987836005,0.6141359650469016,0.7071067811865475
1.7782794100389227e-11,23.895222160436273,22,-1.8952221604362727,22.056727498190426,-1.8384946622458465,22,-1.8952221604362727,22.357172916135898,-1.5380492443003746,0.9893453239000839,0.2680790887763414,0.7071067811865475
1e-11,24.450925001376653,23,-1.4509250013766533,22.56266225478528,-1.8882627465913728,23,-1.4509250013766533,22.938265246766285,-1.5126597546103682,0.7100658735235658,0.09122750308386071,0.7071067811865475
5.6234132519034904e-12,25.006627842317027,23,-2.0066278423170267,23.165215221548575,-1.8414126207684518,23,-2.0066278423170267,23.45553747074009,-1.5510903715769366,0.9998782457394764,0.34030521460058694,0.7071067811865475
3.1622776601683794e-12,25.562330683257407,24,-1.5623306832574073,23.682746844180233,-1.8795838390771742,24,-1.5623306832574073,24.058457406807953,-1.503873276449454,0.7990964853162599,0.12222884530203197,0.7071067811865475
1.7782794100389228e-12,26.118033524197788,24,-2.118033524197788,24.26305280940751,-1.8549807147902762,25,-1.118033524197788,24.564391800422964,-1.553641723774824,0.9999960579689929,0.42449824011184767,0.7071067811865475
1e-12,26.67373636513816,25,-1.6737363651381614,24.810228124671525,-1.8635082404666363,25,-1.6737363651381614,25.166757043617274,-1.5069793215208875,0.8773053432361747,0.1608881683108398,0.7071067811865475
5.62341325190349e-13,27.229439206078542,25,-2.229439206078542,25.356880355762648,-1.8725588503158939,26,-1.229439206078542,25.68462664717451,-1.544812558904031,0.999999904511124,0.5177982653911711,0.7071067811865475
3.162277660168379e-13,27.785142047018923,26,-1.7851420470189225,25.937878245805642,-1.8472638012132805,26,-1.7851420470189225,26.264473284286435,-1.5206687627324875,0.9419053130143973,0.20910885533529827,0.7071067811865475
1.7782794100389227e-13,28.3408448879593,26,-2.3408448879592996,26.45521727912863,-1.8856276088306707,27,-1.3408448879592996,26.8121679133411,-1.5286769746182003,0.9999999988538317,0.6153100546107958,0.7071067811865475
1e-13,28.896547728899677,27,-1.8965477288996766,27.058100748750224,-1.8384469801494525,27,-1.8965477288996766,27.35830615418323,-1.538241574716448,0.9897765757219529,0.26886888488841115,0.7071067811865475
5.6234132519034906e-14,29.452250569840057,28,-1.4522505698400572,27.56403346883303,-1.8882171010070259,28,-1.4522505698400572,27.939758501684274,-1.5124920681557832,0.7111813639031246,0.09155846408937736,0.7071067811865475
3.1622776601683796e-14,30.007953410780434,28,-2.007953410780434,28.166437564013506,-1.841515846766928,28,-2.007953410780434,28.456767100513577,-1.551186310266857,0.9998833478113746,0.3412437092153262,0.7071067811865475
1.7782794100389227e-14,30.56365625172081,29,-1.5636562517208112,28.68423608081584,-1.8794201709049716,29,-1.5636562517208112,29.059822701109518,-1.5038335506112936,0.8001001881821332,0.12264166896127522,0.7071067811865475
