sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_rouche_ratio,dual_weighted_rouche_ratio,computed_primal_dual_rouche_ratio,deep_primal_residual_to_forcing,dual_residual_to_rhs,one_sided_resolvent_coefficient,primal_dual_resolvent_coefficient,one_sided_resolvent_budget,primal_dual_resolvent_budget,budget_gain_factor,primal_correction_reconstruction_defect,corrected_feshbach_smallest_singular,corrected_determinant_phase
0.01,10,1.9634954084936207,-0.4238043663455411,-0.30832401643155255,36,52,52,0.0,1.01377228169583e-15,1.01377228169583e-15,1.810249507954398e-15,8.509483043149526e-16,6.771578409344296e-15,5.418435499814664e-30,147676057124299.28,1.845551174382723e+29,1249729448579005.8,0.0,0.11808462648614719,1.8056970291666006
0.01,11,2.1598449493429825,-0.4691869370142508,-0.33258150583205165,36,52,36,1.2136480374748548e-17,5.590951769980094e-16,5.607419657658872e-16,1.5666534623320023e-15,7.422599146418359e-16,4.991377407145865e-15,3.187937048722018e-30,200345499534528.9,3.1368248014837058e+29,1565707644430058.2,3.9725549000020145e-18,0.14942487094763238,1.8705535672558655
0.01,11,2.1598449493429825,-0.4691869370142508,-0.33258150583205165,36,52,44,1.2136480374748548e-17,5.590951769980094e-16,5.607419657658872e-16,1.5666534623320023e-15,7.422599146418359e-16,4.991377407145865e-15,3.187937048722018e-30,200345499534528.9,3.1368248014837058e+29,1565707644430058.2,3.9725549000020145e-18,0.14942487094763238,1.8705535672558655
0.01,11,2.1598449493429825,-0.4691869370142508,-0.33258150583205165,36,52,52,1.2136480374748548e-17,5.590951769980094e-16,5.607419657658872e-16,1.5666534623320023e-15,7.424717287119026e-16,4.991377407145865e-15,3.189685705499626e-30,200345499534528.9,3.135105124231547e+29,1564849288611657.5,3.9725549000020145e-18,0.14942487094763238,1.8705535672558655
0.01,12,2.356194490192345,-0.5089650928945346,-0.36522659470127694,36,52,36,0.0,5.36015962960564e-16,5.36015962960564e-16,1.3173901553801632e-15,7.512657202283525e-16,3.4268505907955587e-15,2.4457792193636015e-30,291813130892247.5,4.088676492476709e+29,1401128345381572.2,0.0,0.18039492879102254,1.9970928124903131
0.01,12,2.356194490192345,-0.5089650928945346,-0.36522659470127694,36,52,44,0.0,5.36015962960564e-16,5.36015962960564e-16,1.3173901553801632e-15,7.512657202283525e-16,3.4268505907955587e-15,2.4457792193636015e-30,291813130892247.5,4.088676492476709e+29,1401128345381572.2,0.0,0.18039492879102254,1.9970928124903131
0.01,12,2.356194490192345,-0.5089650928945346,-0.36522659470127694,36,52,52,0.0,5.36015962960564e-16,5.36015962960564e-16,1.3173901553801632e-15,7.512657202283525e-16,3.4268505907955587e-15,2.4457792193636015e-30,291813130892247.5,4.088676492476709e+29,1401128345381572.2,0.0,0.18039492879102254,1.9970928124903131
0.01,13,2.552544031041707,-0.5416101817637599,-0.4050047505815607,36,52,36,2.899189430037588e-19,3.56715189616819e-16,3.5682898021023745e-16,1.2080154152309746e-15,6.602139678124096e-16,2.8020022610406e-15,1.4300431116938308e-30,356887649201475.94,6.992796173924703e+29,1959383069033307.5,3.095145498617292e-19,0.20921210992579295,2.1616932961786315
0.01,13,2.552544031041707,-0.5416101817637599,-0.4050047505815607,36,52,44,2.899189430037588e-19,3.56715189616819e-16,3.5682898021023745e-16,1.2080154152309746e-15,6.602139678124096e-16,2.8020022610406e-15,1.4300431116938308e-30,356887649201475.94,6.992796173924703e+29,1959383069033307.5,3.095145498617292e-19,0.20921210992579295,2.1616932961786315
0.01,13,2.552544031041707,-0.5416101817637599,-0.4050047505815607,36,52,52,2.899189430037588e-19,3.56715189616819e-16,3.5682898021023745e-16,1.2080154152309746e-15,6.602000723485719e-16,2.8020022610406e-15,1.429799099930287e-30,356887649201475.94,6.993989575519784e+29,1959717460430082.0,3.095145498617292e-19,0.20921210992579295,2.1616932961786315
0.01,14,2.748893571891069,-0.565867671164259,-0.4503873212502704,36,52,36,0.0,2.960090204873791e-16,2.960090204873791e-16,1.1448630964142756e-15,5.631513889565406e-16,2.495114313762929e-15,1.1765300543418859e-30,400783240464795.06,8.499570379095571e+29,2120739971371676.2,0.0,0.23490688976057197,2.352341347547725
0.01,14,2.748893571891069,-0.565867671164259,-0.4503873212502704,36,52,44,0.0,2.960090204873791e-16,2.960090204873791e-16,1.1448630964142756e-15,5.631513889565406e-16,2.495114313762929e-15,1.1765300543418859e-30,400783240464795.06,8.499570379095571e+29,2120739971371676.2,0.0,0.23490688976057197,2.352341347547725
0.01,14,2.748893571891069,-0.565867671164259,-0.4503873212502704,36,52,52,0.0,2.960090204873791e-16,2.960090204873791e-16,1.1448630964142756e-15,5.631513889565406e-16,2.495114313762929e-15,1.1765300543418859e-30,400783240464795.06,8.499570379095571e+29,2120739971371676.2,0.0,0.23490688976057197,2.352341347547725
0.01,15,2.945243112740431,-0.5808053593821276,-0.4996302799674465,36,52,36,6.495627652036422e-18,1.8319052597072244e-16,1.8561509028548806e-16,9.544190455056833e-16,5.5704708966228e-16,1.77067568621656e-15,8.242276479127879e-31,564756159348819.6,1.2132570443764228e+30,2148284749608297.5,3.41537371474735e-18,0.25698584859091034,2.562574396683325
