component_period,original_period,cycle_two_step_radius,packet_two_step_radius,radius_identity_error,endpoint_width,critical_source_width,critical_width_over_lambda_k,minimum_channel_coefficient,maximum_channel_coefficient,raw_balancing_condition,packet_balancing_condition,packet_eigenvalue_condition,raw_condition_exponent,packet_condition_exponent,riccati_residual
69,138,0.5900217887748831,0.5900217887748831,0.0,0.4032740907753988,853547109255574.1,0.2572422473292367,0.3549108444017701,1.0,1341648300403493.0,39094849.74958308,1463598.9160675164,0.9746633963915452,0.48915506107730583,0.0
70,140,0.5901031455833422,0.5901031455833422,0.0,0.4032740907753988,1432741567499075.5,0.2572422473292366,0.3549108444017701,1.0,2251744809222579.0,49672748.48864625,1869089.8877084542,0.9750215449726879,0.48877197062358146,0.0
71,142,0.5901822213992617,0.5901822213992617,0.0,0.4032740907753988,2404962042493500.0,0.25724224732923656,0.3549108444017701,1.0,3779212761722618.5,65632500.419999,2387925.49661229,0.9753697104765338,0.4894642488440201,1.1667379776296618e-16
72,144,0.5902591108237233,0.5902591108237233,0.0,0.4032740907753988,4036905578115183.0,0.2572422473292366,0.3549108444017701,1.0,6342860079080775.0,83401397.10633674,3050717.6145148906,0.9757083045251251,0.4890909467490279,1.110946725353207e-16
73,146,0.5903339032979096,0.5903339032979096,0.0,0.4032740907753988,6776242767524477.0,0.2572422473292365,0.3549108444017701,1.0,1.0645607990722266e+16,110183132.90516594,3899067.452946316,0.9760377164203933,0.4897562978150414,1.175714462695741e-16
74,148,0.5904066834501693,0.5904066834501692,-1.1102230246251565e-16,0.4032740907753988,1.1374421609798092e+16,0.25724224732923656,0.3549108444017701,1.0,1.7867232788503116e+16,140030376.62092504,4983170.281948817,0.9763583146366519,0.4893923082246846,0.0
75,150,0.5904775314154418,0.5904775314154417,-1.1102230246251565e-16,0.4032740907753988,1.909280281065055e+16,0.2572422473292365,0.3549108444017701,1.0,2.9987865162120016e+16,184972986.03018305,6371235.036261907,0.9766704481949067,0.4900325944337792,1.184760009784044e-16
76,152,0.5905465231295745,0.5905465231295745,0.0,0.4032740907753988,3.2048673037789436e+16,0.2572422473292365,0.3549108444017701,1.0,5.0330955399377304e+16,235106953.4861276,8145611.751465864,0.9769744479297742,0.48967747432994807,1.110946725353194e-16
77,154,0.5906137306008067,0.5906137306008068,1.1102230246251565e-16,0.4032740907753988,5.379605360561173e+16,0.25724224732923645,0.3549108444017701,1.0,8.447459481030971e+16,310526561.2339502,10418194.809167882,0.9772706276586957,0.49029437954522803,0.0
78,156,0.5906792221604599,0.5906792221604599,0.0,0.4032740907753988,9.030063054796189e+16,0.25724224732923645,0.3549108444017701,1.0,1.4178109543043976e+17,394732982.9710842,13324155.074580202,0.9775592852620718,0.48994771591406827,0.0
79,158,0.5907430626946683,0.5907430626946683,0.0,0.4032740907753988,1.515762464127834e+17,0.25724224732923645,0.3549108444017701,1.0,2.379642719212132e+17,521298727.376065,17047145.04623251,0.97784070368218,0.4905427670176745,0.0
80,160,0.590805313858803,0.590805313858803,0.0,0.4032740907753988,2.544318720386542e+17,0.25724224732923645,0.3549108444017701,1.0,3.993984355739805e+17,662729770.9705182,21809143.535426278,0.9781151518478918,0.4902041742988441,1.4247763581871296e-16
81,162,0.5908660342760785,0.5908660342760785,0.0,0.4032740907753988,4.2708260061277344e+17,0.2572422473292364,0.3549108444017701,1.0,6.703507383087653e+17,875129305.8893877,27911726.98918787,0.9783828855315584,0.49077875957795475,1.212316357050524e-16
82,164,0.5909252797216862,0.5909252797216861,-1.1102230246251565e-16,0.4032740907753988,7.168895401534403e+17,0.2572422473292364,0.3549108444017701,1.0,1.1251201775379284e+18,1112666524.5497618,35719599.3395279,0.9786441481437507,0.4904478773652605,0.0
83,166,0.5909831032936704,0.5909831032936704,0.0,0.4032740907753988,1.203351792004706e+18,0.2572422473292364,0.3549108444017701,1.0,1.888412140035619e+18,1469114388.1668208,45728212.01514391,0.9788991714711309,0.49100326233482466,0.0
84,168,0.5910395555716489,0.5910395555716489,0.0,0.4032740907753988,2.0199144417855516e+18,0.2572422473292364,0.3549108444017701,1.0,3.169535832541508e+18,1868053737.0305927,58537027.139807954,0.979148176362053,0.4906797533015055,0.0
85,170,0.5910946847643718,0.5910946847643717,-1.1102230246251565e-16,0.4032740907753988,3.390574875312838e+18,0.25724224732923634,0.3549108444017701,1.0,5.319802684459147e+18,2466249284.790733,74960372.86750686,0.9793913733642486,0.4912170943748459,0.0
86,172,0.5911485368470274,0.5911485368470275,1.1102230246251565e-16,0.4032740907753988,5.691329170823941e+18,0.2572422473292363,0.3549108444017701,1.0,8.928866396401365e+18,3136243701.7046194,95984001.46003962,0.979628963318377,0.4909006423995172,0.0
87,174,0.5912011556891148,0.5912011556891148,0.0,0.4032740907753988,9.553314385273057e+18,0.25724224732923634,0.3549108444017701,1.0,1.4986424651474123e+19,4140153541.756966,122946925.4253535,0.9798611379110513,0.49142099874381195,1.2405136377283273e-16
88,176,0.59125258317363,0.59125258317363,0.0,0.4032740907753988,1.6035940463913183e+19,0.2572422473292363,0.3549108444017701,1.0,2.5153627368923566e+19,5265342174.335868,157470773.15517846,0.9800880801904431,0.49111130721568164,0.0
89,178,0.5913028593082486,0.5913028593082486,0.0,0.4032740907753988,2.691750487753033e+19,0.25724224732923623,0.3549108444017701,1.0,4.221862260554595e+19,6950149800.107885,201758213.55014527,0.9803099650474458,0.49161565107001204,0.0
90,180,0.591352022329123,0.591352022329123,0.0,0.4032740907753988,4.5183010654247576e+19,0.25724224732923623,0.3549108444017701,1.0,7.086116990297003e+19,8839750350.72579,258477982.62252644,0.9805269596650422,0.49131244135427765,1.1109467253531915e-16
91,182,0.5914001087978615,0.5914001087978615,0.0,0.4032740907753988,7.584300480562065e+19,0.2572422473292363,0.3549108444017701,1.0,1.1893601129875382e+20,11667296669.145147,331254898.5030848,0.9807392239382775,0.49180166704011796,0.0
92,184,0.5914471536922055,0.5914471536922055,0.0,0.4032740907753988,1.2730805881800275e+20,0.25724224732923623,0.3549108444017701,1.0,1.9962695800983863e+20,14840557808.19394,424482598.3139461,0.9809469108670736,0.4915046770866092,0.0
93,186,0.5914931904908771,0.5914931904908771,0.0,0.4032740907753988,2.1369593519595022e+20,0.25724224732923623,0.3549108444017701,1.0,3.350624432422904e+20,19585956282.408424,544128535.6143463,0.9811501669239148,0.4919796089019378,1.1158333250378234e-16
94,188,0.5915382512530313,0.5915382512530313,0.0,0.4032740907753988,3.587043361061294e+20,0.2572422473292362,0.3549108444017701,1.0,5.623840983743672e+20,24914804124.8745,697428750.5644115,0.9813491323982568,0.49168859198194514,0.0
95,190,0.5915823666927069,0.5915823666927068,-1.1102230246251565e-16,0.4032740907753988,6.021115966635264e+20,0.2572422473292362,0.3549108444017701,1.0,9.439326540864892e+20,32878945601.482548,894210933.7992154,0.981543941719336,0.4921499911386723,1.1244181670250398e-16
96,192,0.5916255662486407,0.5916255662486407,0.0,0.4032740907753988,1.0106885764810977e+21,0.2572422473292362,0.3549108444017701,1.0,1.5843446540084267e+21,41827503329.108025,1146396566.421028,0.98173472375901,0.4918647146966013,1.1109467253531907e-16
97,194,0.5916678781497784,0.5916678781497784,0.0,0.4032740907753988,1.69651507177368e+21,0.2572422473292362,0.3549108444017701,1.0,2.659248783345829e+21,55193715748.107994,1470176423.0485396,0.9819216021159635,0.4923132854352389,0.0
98,196,0.591709329476788,0.5917093294767879,-1.1102230246251565e-16,0.4032740907753988,2.847725259521703e+21,0.2572422473292361,0.3549108444017701,1.0,4.4634318643013107e+21,70220479608.20953,1885197966.44074,0.9821046953826676,0.4920335300432414,0.0
99,198,0.5917499462198579,0.5917499462198579,0.0,0.4032740907753988,4.78011618561075e+21,0.2572422473292361,0.3549108444017701,1.0,7.491684240834209e+21,92653134315.82759,2418144029.3786345,0.9822841173963004,0.4924699250376302,1.1417865057177307e-16
100,200,0.5917897533330388,0.5917897533330388,0.0,0.4032740907753988,8.023776405935878e+21,0.2572422473292361,0.3549108444017701,1.0,1.2574496826754662e+22,117886257628.37335,3101405628.60834,0.982459977474721,0.49219548344266983,1.1109467253531907e-16
