sigma,scaled_coordinate,observed,conditioned_profile,unconditioned_profile,affine_profile
0.001,-1.0174616597450221,4.551870380250391e-57,1.6201748194450248e-47,1.620174819445025e-47,1.221876447881141e-07
0.001,-1.0143734979675167,2.9138915120123957e-56,4.629361712046393e-47,4.629361712046394e-47,1.3376664555135814e-07
0.001,-1.011285336190008,1.8369689433363506e-55,1.3127087875360685e-46,1.3127087875360687e-46,1.4640262159067956e-07
0.001,-1.0081971744124991,1.1585129906874692e-54,3.694192196643361e-46,3.694192196643362e-46,1.6018813498187052e-07
0.001,-1.0051090126349902,7.077442453574616e-54,1.0317872048094081e-45,1.0317872048094083e-45,1.7522348386679524e-07
0.001,-1.0020208508574813,4.082305635352543e-53,2.860197676735809e-45,2.86019767673581e-45,1.9161731531275029e-07
0.001,-0.9989326890799759,2.3928892326324833e-52,7.869604156552001e-45,7.869604156552004e-45,2.094872837627464e-07
0.001,-0.995844527302467,1.364071391023205e-51,2.149197277423977e-44,2.1491972774239777e-44,2.2896075821821017e-07
0.001,-0.9927563655249582,7.428344543873103e-51,5.826152171559264e-44,5.826152171559267e-44,2.501755814912634e-07
0.001,-0.9896682037474492,4.067459737735395e-50,1.5677798151402376e-43,1.5677798151402384e-43,2.7328088507131917e-07
0.001,-0.9865800419699404,2.172181891573725e-49,4.187950453795478e-43,4.187950453795481e-43,2.984379633679128e-07
0.001,-0.9834918801924349,1.1258085359706874e-48,1.1105719595276456e-42,1.1105719595276467e-42,3.258212113216299e-07
0.001,-0.9804037184149261,5.689045299887315e-48,2.92372162170901e-42,2.923721621709014e-42,3.556191296166695e-07
0.001,-0.9773155566374172,2.8313948609774793e-47,7.641610348881737e-42,7.641610348881748e-42,3.8803540198211423e-07
0.001,-0.9742273948599084,1.3800091442635473e-46,1.9829359317669803e-41,1.982935931766984e-41,4.2329004933730656e-07
0.001,-0.9711392330823995,6.572218231107056e-46,5.108845078739633e-41,5.108845078739645e-41,4.6162066581648656e-07
0.001,-0.9680510713048941,3.0804294630862307e-45,1.3068999385966875e-40,1.3068999385966913e-40,5.032837420033349e-07
0.001,-0.9649629095273852,1.411266823488916e-44,3.319577058246195e-40,3.319577058246207e-40,5.485560810157277e-07
0.001,-0.9618747477498764,6.353303704164746e-44,8.372578079316017e-40,8.372578079316057e-40,5.977363134047537e-07
0.001,-0.9587865859723674,2.7942662243345437e-43,2.0969442200358853e-39,2.0969442200358974e-39,6.51146517174001e-07
0.001,-0.9556984241948585,1.2091774505303168e-42,5.2153194875052106e-39,5.215319487505248e-39,7.09133949580124e-07
0.001,-0.9526102624173531,5.1296302785314106e-42,1.2881203392336848e-38,1.2881203392336963e-38,7.720728977499298e-07
0.001,-0.9495221006398443,2.1365889366257279e-41,3.159573850935853e-38,3.159573850935888e-38,8.403666555400193e-07
0.001,-0.9464339388623354,8.722832840255271e-41,7.69683497082459e-38,7.696834970824696e-38,9.144496344720908e-07
0.001,-0.9433457770848265,3.4975376796898267e-40,1.86218330986655e-37,1.8621833098665813e-37,9.947896170062898e-07
0.001,-0.9402576153073177,1.3769670550219346e-39,4.4748062823685935e-37,4.474806282368687e-37,1.0818901608583142e-06
0.001,-0.9371694535298123,5.3179013475212094e-39,1.0680277301198589e-36,1.0680277301198864e-36,1.1762931635325116e-06
0.001,-0.9340812917523034,2.0173937428375013e-38,2.5319911775014817e-36,2.5319911775015623e-36,1.2785815967285755e-06
0.001,-0.9309931299747944,7.513620723088932e-38,5.962495567532961e-36,5.962495567533195e-36,1.3893824207827526e-06
0.001,-0.9279049681972856,2.7481592500338406e-37,1.3947455592530606e-35,1.3947455592531277e-35,1.5093696898348396e-06
0.001,-0.9248168064197767,9.871767809893683e-37,3.240990221297973e-35,3.240990221298165e-35,1.6392678589561905e-06
0.001,-0.9217286446422713,3.484247491243833e-36,7.481540141726956e-35,7.481540141727499e-35,1.77985530504582e-06
0.001,-0.9186404828647624,1.208345491340896e-35,1.7157324326702546e-34,1.7157324326704073e-34,1.9319680738941792e-06
0.001,-0.9155523210872536,4.1184135297129264e-35,3.909021319827621e-34,3.909021319828046e-34,2.0965038664251546e-06
0.001,-0.9124641593097447,1.3795904536388233e-34,8.848325191456969e-34,8.848325191458146e-34,2.274426277770616e-06
