index,diagonal_real,diagonal_imag,diagonal_real_hex,diagonal_imag_hex,exact_squared_margin_sign,classification,floating_signed_boundary_distance
61,-1.0610654753671849e-07,8.986232877082805e-23,-0x1.c7b961ff2abe2p-24,0x1.b28c2cc04593dp-74,1,outside,0.37623555043413215
62,-2.6878549912459126e-08,-1.0031070631090525e-07,-0x1.cdc51cd7ae3f4p-26,-0x1.aed4c9b9024f9p-24,1,outside,0.3762355040347646
63,-2.6878549912459288e-08,1.0031070631090519e-07,-0x1.cdc51cd7ae425p-26,0x1.aed4c9b9024f4p-24,1,outside,0.3762356770496482
64,-7.821029716699767e-08,-1.4623410017390203e-08,-0x1.4fe92192d8609p-24,-0x1.f674dff3ddbdbp-27,1,outside,0.3762355519450654
65,-7.821029716699764e-08,1.4623410017390211e-08,-0x1.4fe92192d8607p-24,0x1.f674dff3ddbe0p-27,1,outside,0.376235577167375
66,5.006713427446792e-08,-5.051920164728578e-08,0x1.ae12cae86252bp-25,-0x1.b1f4e636d736bp-25,1,outside,0.37623558592739537
67,5.006713427446797e-08,5.051920164728579e-08,0x1.ae12cae862532p-25,0x1.b1f4e636d736cp-25,1,outside,0.3762356730623939
68,5.799338932616784e-08,-9.50537700337434e-09,0x1.f228cfd1e5a28p-25,-0x1.469a2e2a4af72p-27,1,outside,0.3762356253100636
69,5.799338932616784e-08,9.505377003374348e-09,0x1.f228cfd1e5a28p-25,0x1.469a2e2a4af77p-27,1,outside,0.3762356417048399
70,1.572708105103833e-08,-4.731223355509813e-08,0x1.0e306f171bf6ep-26,-0x1.9668b3ad14effp-25,1,outside,0.3762355713088884
71,1.572708105103832e-08,4.731223355509812e-08,0x1.0e306f171bf6bp-26,0x1.9668b3ad14efdp-25,1,outside,0.3762356529125438
72,1.4476205689798723e-08,1.4088805158666098e-08,0x1.f1660d4670c2cp-27,0x1.e41670d4d22dep-27,1,outside,0.37623562362759067
73,1.4476205689798715e-08,-1.4088805158666086e-08,0x1.f1660d4670c27p-27,-0x1.e41670d4d22d7p-27,1,outside,0.37623559932736406
74,-4.024315527477507e-09,1.8045792158416706e-08,-0x1.148c81e8f3ba8p-28,0x1.36063bb5c6abbp-26,1,outside,0.37623561767444313
75,-4.024315527477508e-09,-1.8045792158416732e-08,-0x1.148c81e8f3ba9p-28,-0x1.36063bb5c6ac3p-26,1,outside,0.37623558654924527
76,-1.6881215979973994e-08,1.8393065679546706e-09,-0x1.22045f7fce629p-26,0x1.f995b17f09c8bp-30,1,outside,0.3762355971894248
77,-1.688121597997399e-08,-1.8393065679546712e-09,-0x1.22045f7fce628p-26,-0x1.f995b17f09c8ep-30,1,outside,0.37623559401700757
78,1.273324142313972e-08,4.988586704071558e-09,0x1.b582c6aa0b533p-27,0x1.56d02538b84aep-28,1,outside,0.3762356148972573
79,1.2733241423139671e-08,-4.988586704071555e-09,0x1.b582c6aa0b515p-27,-0x1.56d02538b84aap-28,1,outside,0.37623560629299413
80,-2.2090987269660546e-09,1.0907855410144212e-08,-0x1.2f9dc0683ccffp-29,0x1.76ca82c7bfaadp-27,1,outside,0.37623561243765125
81,-2.2090987269660654e-09,-1.0907855410144205e-08,-0x1.2f9dc0683cd19p-29,-0x1.76ca82c7bfaa9p-27,1,outside,0.3762355936238938
82,-7.77963070911626e-09,4.406759211646962e-09,-0x1.0b4e5afb38505p-27,0x1.2ed48724bb6adp-28,1,outside,0.37623560401113443
83,-7.779630709116256e-09,-4.406759211646962e-09,-0x1.0b4e5afb38502p-27,-0x1.2ed48724bb6adp-28,1,outside,0.37623559641040116
84,-8.299359838451742e-09,-2.2890704161754345e-09,-0x1.1d29f0f01c578p-27,-0x1.3a9b8158bc6afp-29,1,outside,0.3762355979735795
85,-8.299359838451738e-09,2.289070416175432e-09,-0x1.1d29f0f01c576p-27,0x1.3a9b8158bc6a9p-29,1,outside,0.37623560192174466
86,5.947137249852098e-09,0.0,0x1.98af251a33f1bp-28,0x0.0p+0,1,outside,0.37623560715975424
87,-5.853803265566167e-10,-5.084003585881804e-09,-0x1.41d0f4f6e3209p-31,-0x1.5d5ebca7a9552p-28,1,outside,0.37623559946833884
88,-5.853803265566158e-10,5.084003585881805e-09,-0x1.41d0f4f6e3200p-31,0x1.5d5ebca7a9553p-28,1,outside,0.37623560823717617
89,3.7037008140341173e-09,4.1359028203185175e-25,0x1.fd08633642779p-29,0x1.fffffe0875440p-82,1,outside,0.3762356060240456
90,-8.350871896725732e-10,-2.766664645100429e-09,-0x1.cb1812d98fc87p-31,-0x1.7c3f5bbabe56bp-29,1,outside,0.37623560134038947
91,1.916775495625696e-09,-2.0395398517543104e-09,0x1.07708ad0d2147p-29,-0x1.184fedd52e2f6p-29,1,outside,0.3762356033605506
92,-8.350871896725783e-10,2.7666646451004197e-09,-0x1.cb1812d98fcb8p-31,0x1.7c3f5bbabe554p-29,1,outside,0.37623560611230433
93,1.916775495625693e-09,2.0395398517543075e-09,0x1.07708ad0d2140p-29,0x1.184fedd52e2efp-29,1,outside,0.37623560687832813
94,-2.488839456326261e-09,-4.526252737917356e-25,-0x1.561040e56cd4ap-29,-0x1.1829566667933p-81,1,outside,0.3762356028891577
95,1.0830519061318881e-09,-2.2039750148368807e-09,0x1.29b500a4bd53dp-30,-0x1.2ee97a1c717a1p-29,1,outside,0.37623560279668156
96,1.0830519061318844e-09,2.203975014836887e-09,0x1.29b500a4bd52bp-30,0x1.2ee97a1c717b0p-29,1,outside,0.3762356065980751
97,-7.856346831031293e-10,9.436513893585073e-10,-0x1.afe8408751110p-31,0x1.0363902e92ff4p-30,1,outside,0.3762356045651817
98,-7.85634683103132e-10,-9.436513893585063e-10,-0x1.afe840875112ap-31,-0x1.0363902e92fefp-30,1,outside,0.3762356029375814
99,-1.2071465523346127e-09,-1.434854125947675e-26,-0x1.4bd1630d9827ep-30,-0x1.1c33bf6d315f8p-86,1,outside,0.376235603537997
100,9.070523585850716e-10,-7.648435521328197e-29,0x1.f2a8455023002p-31,-0x1.83d25e8c196f2p-94,1,outside,0.376235604608281
101,2.351521436597821e-10,-5.020357357074404e-10,0x1.028d71b479e72p-32,-0x1.13ff3f9e39cf6p-31,1,outside,0.3762356038351877
102,2.351521436597823e-10,5.020357357074402e-10,0x1.028d71b479e75p-32,0x1.13ff3f9e39cf4p-31,1,outside,0.37623560470109385
103,1.8324645941045883e-10,-2.4240853307369e-10,0x1.92f695f650f7ap-33,-0x1.0a87efaae4caap-32,1,outside,0.3762356040328123
104,1.832464594104588e-10,2.4240853307368995e-10,0x1.92f695f650f79p-33,0x1.0a87efaae4ca9p-32,1,outside,0.3762356044509161
105,-1.6871359046761846e-10,-1.65466706682528e-10,-0x1.73014ed239c11p-33,-0x1.6bdd798dc8c93p-33,1,outside,0.37623560392099165
106,-6.7261481404620745e-12,-2.300129914842937e-10,-0x1.d94f83565561cp-38,-0x1.f9cdcd871404fp-33,1,outside,0.37623560394733113
107,-1.687135904676179e-10,1.6546670668252843e-10,-0x1.73014ed239bfbp-33,0x1.6bdd798dc8ca4p-33,1,outside,0.376235604206387
108,-6.605561600816898e-11,-2.1265686219398438e-10,-0x1.2284030c8923ap-34,-0x1.d3a32bb0d233ap-33,1,outside,0.3762356039322643
109,-6.726148140462035e-12,2.3001299148429353e-10,-0x1.d94f8356555ebp-38,0x1.f9cdcd8714049p-33,1,outside,0.37623560434405523
110,-6.605561600816883e-11,2.1265686219398435e-10,-0x1.2284030c8922ep-34,0x1.d3a32bb0d2339p-33,1,outside,0.3762356042990527
111,-1.2391454393687684e-10,-1.0909987414309031e-10,-0x1.107dafce072bap-33,-0x1.dfd389c32a816p-34,1,outside,0.37623560399228106
112,-1.2391454393687692e-10,1.0909987414309032e-10,-0x1.107dafce072bdp-33,0x1.dfd389c32a817p-34,1,outside,0.3762356041804553
113,9.83427577633617e-11,-1.6502812365042523e-25,0x1.b0841a0fdaabfp-34,-0x1.9897000000000p-83,1,outside,0.3762356041988829
114,-9.193542556249943e-11,2.6079046723587207e-26,-0x1.9456164aa2d17p-34,0x1.02463d0c0c000p-85,1,outside,0.3762356041025572
