sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_residual_radius_frobenius,primal_residual_norm_upper,dual_residual_radius_frobenius,dual_residual_norm_upper,base_consistency_radius_frobenius,base_consistency_norm_upper,total_correction_radius_frobenius,total_correction_norm_upper,correction_rouche_ratio_upper,weighted_dual_residual_norm_upper,remainder_coefficient_upper,resolvent_budget_lower,normwise_correction_rouche_ratio_upper,normwise_resolvent_budget_lower,eta_tightening_factor,budget_gain_over_normwise,corrected_feshbach_smallest_singular,corrected_determinant_phase,node_seconds
0.0002,18,3.5342917352885173,0.3318273637960024,-0.5024946877479319,58,74,74,1.2112584756860249e-08,1.2112604942054169e-08,5.21092415528963e-09,5.210933493409042e-09,3.913888469367156e-09,3.913891768373156e-09,7.898357316641742e-08,7.898357622384321e-08,3.3566944761521816e-06,2.214572827025889e-07,2.682424576917266e-15,372795810145295.4,0.005855321040042005,570722263.089764,1744.371160867172,653200.0488767714,0.023664783777275183,-2.3770847195176987,6.9898858070373535
0.0002,19,3.730641276137879,0.3369483764003752,-0.5120754284658284,58,74,74,1.031357745082103e-08,1.0313595172270417e-08,4.600474090191751e-09,4.60048263757495e-09,3.3438414828755965e-09,3.3438446905688727e-09,5.913712060771631e-08,5.913712368833015e-08,2.230358781278268e-06,1.7350712942581629e-07,1.7894822924005976e-15,558819594855960.9,0.004138503685678458,808892768.667004,1855.5327153717353,690845.0866446175,0.02669698836335008,-2.290570035763323,7.047472715377808
0.0002,20,3.9269908169872414,0.343840099975311,-0.5204730179392654,58,74,74,8.88051578405977e-09,8.880531552028903e-09,4.102053046474522e-09,4.102061046657118e-09,2.8880535614562448e-09,2.8880564639291716e-09,4.521880113848331e-08,4.5218804087298286e-08,1.5488760239615445e-06,1.405073585788168e-07,1.2477800311514217e-15,801422066516965.1,0.0030533706578853,1097582617.029175,1971.3460668567425,730170.1521897028,0.029424352781286498,-2.181540902472226,7.038004636764526
0.0002,21,4.123340357836604,0.352237689448748,-0.5273647415142012,58,74,74,7.760358073894868e-09,7.760372152060877e-09,3.7060461694559486e-09,3.706053460521593e-09,2.5309846863283623e-09,2.530987494489082e-09,3.5558678486210435e-08,3.5558680837524094e-08,1.1297003298313558e-06,1.1774125484859864e-07,9.137159552757678e-16,1094430785109647.0,0.0023571051185462743,1422819903.5620942,2086.487058827493,769198.3942378722,0.031748009612975456,-2.051993301005565,7.013938903808594
0.0002,22,4.319689898685965,0.36181843016664444,-0.532485754118574,58,74,74,6.900475044013059e-09,6.900487878063645e-09,3.399496046524412e-09,3.3995026983131803e-09,2.2565550180271292e-09,2.2565576672840568e-09,2.88956667897729e-08,2.8895668769203884e-08,8.67724000032325e-07,1.020853955756828e-07,7.044390346973313e-16,1419568029340762.2,0.0019047368580758044,1761563783.6067142,2195.095281454527,805856.7294306353,0.03360512730698631,-1.9044223883082232,7.01232647895813
0.0002,23,4.516039439535327,0.37221413963615296,-0.5356392581098949,58,74,74,6.2549168936336114e-09,6.25492874717577e-09,3.16982767610013e-09,3.169833737364224e-09,2.050418933781608e-09,2.0504213852421194e-09,2.4342235670732756e-08,2.4342237288452296e-08,7.028233008798033e-07,9.152116159681909e-08,5.724583446468629e-16,1746850764824777.5,0.0016102891240792436,2084313703.2626574,2291.1720799004,838093.9788911641,0.0349606377899324,-1.741519647279874,7.048627614974976
0.0002,24,4.71238898038469,0.3830253165723413,-0.5367040660982827,58,74,74,5.786680336208603e-09,5.786691495743859e-09,3.0063799462024693e-09,3.0063859774210852e-09,1.900875641150367e-09,1.900878246070381e-09,2.129970193749595e-08,2.129970425706186e-08,6.006012579085473e-07,8.477284753892219e-08,4.905543159234718e-16,2038509023238814.8,0.0014229448269424663,2359190848.293057,2369.2005439641225,864071.266092667,0.035798026453881006,-1.5660166780771345,7.029301166534424
0.0002,25,4.908738521234052,0.3938364935085296,-0.5356392581098949,58,74,74,5.467948285286857e-09,5.467959038297301e-09,2.9010366142394323e-09,2.9010421778294288e-09,1.7990497195824968e-09,1.799052307104969e-09,1.9379817220996987e-08,1.9379819615337557e-08,5.415850958723045e-07,8.107191188007637e-08,4.43297893316706e-16,2255818205976613.0,0.0013131447291264697,2556735090.545419,2424.63232303587,882304.2380567426,0.03611325970676787,-1.3806298705919147,7.010646104812622
0.0002,26,5.105088062083414,0.40423220297803814,-0.532485754118574,58,74,74,5.279607248136378e-09,5.279617599899768e-09,2.848285074525098e-09,2.8482907289664817e-09,1.738797986154035e-09,1.7388004001272894e-09,1.834568940481954e-08,1.8345692831563855e-08,5.15351270622247e-07,8.001159654548385e-08,4.2243063331761605e-16,2367251344428072.5,0.0012648075700650342,2654549202.5959587,2454.2630282794807,891771.5076115638,0.03591222117193404,-1.1880500021559532,7.01418399810791
0.0002,27,5.301437602932776,0.4138129436959346,-0.5273647415142012,58,74,74,5.210626625130458e-09,5.210636955460464e-09,2.845145077048273e-09,2.845150812744473e-09,1.7165397911873415e-09,1.7165422177202103e-09,1.80736220127812e-08,1.8073624802512792e-08,5.175365294153611e-07,8.147050398269745e-08,4.2451321883223227e-16,2355638029869383.5,0.0012712850076885597,2640959708.005505,2456.415992750649,891962.8810423613,0.03521046139991561,-0.9909417069579608,6.999909400939941
0.0002,28,5.497787143782138,0.42221053316937157,-0.5204730179392654,58,74,74,5.257613503902391e-09,5.25762393162043e-09,2.891008942431401e-09,2.891014626551626e-09,1.7311178852803111e-09,1.7311201687865635e-09,1.853209471270628e-08,1.8532096809698343e-08,5.486266313280039e-07,8.558585345912197e-08,4.499782313548389e-16,2222328507675740.2,0.0013337583310290009,2517034986.781599,2431.085650728455,882915.2234062966,0.034033978933795714,-0.791939124368145,7.0016539096832275
0.0002,29,5.6941366846315,0.4291022567443073,-0.5120754284658284,58,74,74,5.424888993849637e-09,5.424899536908641e-09,2.9875059677634262e-09,2.9875120348820906e-09,1.7838122133283643e-09,1.7838146314159066e-09,1.977664525683234e-08,1.9776647772326275e-08,6.141250184361265e-07,9.27711871673705e-08,5.032743703027332e-16,1986986512493084.8,0.0014615622265058304,2296568495.531742,2379.9099249004844,865198.0188524805,0.032420153386250636,-0.5936374631891602,7.001377820968628
0.0002,30,5.890486225480862,0.43422326934868016,-0.502494687747932,58,74,74,5.725103067754583e-09,5.725114151276429e-09,3.1382901503677827e-09,3.138296323688167e-09,1.878507605642479e-09,1.878510420556636e-09,2.1959057958131496e-08,2.1959059566377733e-08,7.261468601179007e-07,1.0377769496119443e-07,5.941391500091829e-16,1683106177799735.2,0.001674551033663146,2003961315.9095025,2306.077634751816,839889.5549717004,0.030418326812756198,-0.3985889658113579,7.004700183868408
0.0002,31,6.086835766330224,0.437376773340001,-0.49209897827842347,58,74,74,6.180437651050017e-09,6.18044934946654e-09,3.348705744506337e-09,3.3487121189857273e-09,2.022027966728818e-09,2.0220308326038397e-09,2.5351808440956335e-08,2.535181261482014e-08,9.070340899799044e-07,1.1980965319187255e-07,7.404774931295206e-16,1350478714402997.8,0.0020083126230455535,1670296491.803851,2214.153409702659,808526.343095253,0.028089751274306903,-0.20932198029798993,7.0643908977508545
0.0001,0,0.0,0.49863014616357515,-0.4422901763788192,62,78,78,1.4209578469844869e-08,1.4209594360571537e-08,6.482291729849085e-09,6.482299190751745e-09,4.087044039459622e-09,4.0870455477932146e-09,5.4034543033580916e-08,5.4034544289616924e-08,2.467034449198718e-06,2.959595831500239e-07,4.205465623685684e-15,237785211543151.12,0.011206900514773148,91013124.65267453,4542.660731151565,2612647.4884868544,0.021982127540982076,0.21497689538351222,14.838999509811401
0.0001,1,0.19634954084936207,0.4975318550055892,-0.4311390391165839,62,78,78,1.6184746114956642e-08,1.6184763725896853e-08,7.22039350541769e-09,7.220401160743642e-09,4.635785960381512e-09,4.6357879880475855e-09,6.89802199481043e-08,6.898022199317136e-08,3.4436694894752587e-06,3.6046064402924555e-07,5.833970356097952e-15,171409262524836.9,0.014779331373329438,68761040.87960005,4291.739209729297,2492825.3024117677,0.020091459126533776,0.4103925161691344,15.012972354888916
0.0001,2,0.39269908169872414,0.4942791882449041,-0.4204164338057065,62,78,78,1.8907714563799626e-08,1.8907734635207392e-08,8.181099914818002e-09,8.181108586751638e-09,5.3917590038085965e-09,5.3917612946727596e-09,9.192621896006699e-08,9.192622088123708e-08,5.105653576088775e-06,4.54384749090647e-07,8.59138625809125e-15,116395057131163.42,0.02060583150987539,49024406.67173173,4035.885161966011,2374226.737929675,0.018048650372340727,0.5983901352119476,15.095794677734375
0.0001,3,0.5890486225480862,0.4889971440410163,-0.41053442415497765,62,78,78,2.2595498592750852e-08,2.259552183789212e-08,9.39827001123925e-09,9.398280118619666e-09,6.413431860460009e-09,6.413434601227658e-09,1.2708306296227743e-07,1.2708306584829616e-07,8.000200065729538e-06,5.916449921554439e-07,1.3368527340527847e-14,74801956440510.2,0.03031939505376085,32986606.391066335,3789.829604842016,2267646.3154078377,0.015915293948701,0.7786411733553407,14.9657564163208
0.0001,4,0.7853981633974483,0.4818887083904768,-0.40187277025338,62,78,78,2.748317047961911e-08,2.7483198005230044e-08,1.0881248208168794e-08,1.0881259490057623e-08,7.761771378257607e-09,7.761774267551046e-09,1.802003652888928e-07,1.8020036845141437e-07,1.312204787006836e-05,7.923640488327802e-07,2.1776698046297067e-14,45920041496932.46,0.04679751079616405,21007799.496250957,3566.3267852352574,2185856.805474906,0.013752528442896006,0.9496466490784042,15.051141738891602
0.0001,5,0.9817477042468103,0.47322705448887914,-0.3947643346028405,62,78,78,3.377217237633553e-08,3.377220566533183e-08,1.258551170489384e-08,1.2585525451095714e-08,9.483805867161444e-09,9.483808817901675e-09,2.577987874842912e-07,2.577987909222013e-07,2.2214825419451255e-05,1.0845086204492524e-06,3.6626248175637455e-14,27302217261765.062,0.07500625052883139,12718970.740621129,3376.4051309246875,2146574.421668318,0.011617155998042694,1.1054395285125052,14.96422028541565
0.0001,6,1.1780972450961724,0.4633450448381503,-0.3894822903989527,62,78,78,4.163705913980598e-08,4.1637098846716034e-08,1.4408006921493648e-08,1.4408022270724741e-08,1.1611971569778835e-08,1.1611974790581217e-08,3.6606899905809716e-07,3.6606900713803407e-07,3.832507764787479e-05,1.5084262833885986e-06,6.280649426443558e-14,15921310154841.484,0.12384302285973153,7296498.444424371,3231.3834820527472,2182048.043470464,0.00955889095591138,1.2306546788974582,14.98208737373352
0.0001,7,1.3744467859455345,0.4526224395272729,-0.38622962363826757,62,78,78,5.1520740153649346e-08,5.152078921727217e-08,1.626685299614008e-08,1.626687153587713e-08,1.4242721294880056e-08,1.424272548889973e-08,5.142903861042415e-07,5.142904099589141e-07,6.750285175332537e-05,2.1350956963675574e-06,1.1000181533125787e-13,9090145413846.707,0.21243096056215294,3823520.402362584,3146.992386905906,2377428.2486448437,0.007622706663790132,1.2962947477027678,14.957111120223999
0.0001,8,1.5707963267948966,0.4414713022650376,-0.38513133248028164,62,78,78,6.500333025346693e-08,6.500339269157677e-08,1.8268082417863738e-08,1.8268104625077772e-08,1.7767089969123427e-08,1.7767093412930798e-08,7.32750045831623e-07,7.327501201774058e-07,0.00012482545102818923,3.112005361583073e-06,2.0229090657727686e-13,4942758878620.232,0.3933777225466456,1590283.3790275122,3151.422400691422,3108099.439260204,0.005872155713825917,1.2548888623756784,15.015774011611938
0.0001,9,1.7671458676442586,0.43032016500280235,-0.38622962363826757,62,78,78,8.707893357974386e-08,8.707902170166873e-08,2.0942112500776505e-08,2.0942139056112767e-08,2.3457449524682648e-08,2.3457454417567237e-08,1.132255171228255e-06,1.1322553911568974e-06,0.00025062641089195316,4.635569322899423e-06,4.0366084166834875e-13,2476706359371.1436,0.830606736206493,210285.75227526436,3314.1229340134205,11777813.439919274,0.004518700009640986,1.0187757419447465,15.017533779144287
0.0001,10,1.9634954084936207,0.4195975596919249,-0.3894822903989527,62,78,78,1.3679218649762657e-07,1.3679233458490809e-07,2.6228008240969532e-08,2.6228050286650062e-08,3.618961976995767e-08,3.618962634186428e-08,2.2464995785466327e-06,2.246500314211746e-06,0.0004848983538372967,5.661216178161624e-06,7.744109776005796e-13,1290677857825.6226,1.8757595919400578,0.0,3868.356279405832,inf,0.004634167690782512,0.5119622009079074,14.971291542053223
0.0001,11,2.1598449493429825,0.4097155500411961,-0.3947643346028405,62,78,78,3.258722964462266e-07,3.258726824072474e-07,4.356182961883237e-08,4.356193121878426e-08,8.457875896734599e-08,8.45787760640797e-08,9.009286531554595e-06,9.009290812213306e-06,0.0007548158183845057,3.6496966776987193e-06,1.1893364463345008e-12,840170321241.9485,4.2684129761648295,0.0,5654.90663046821,inf,0.011963081360198021,0.5674086903131954,14.97382926940918
0.0001,12,2.356194490192345,0.4010538961395984,-0.40187277025338,62,78,78,2.0237211413857144e-07,2.0237234781069748e-07,3.392377064782031e-08,3.392383125366686e-08,5.288750692247904e-08,5.288751707146667e-08,4.332366895650629e-06,4.332368223428507e-06,0.0013173300056563153,1.0315101923697506e-05,2.0874913942053066e-12,478412832151.83484,5.657508823134548,0.0,4294.6784775587685,inf,0.003289250777527598,2.1455560649513927,14.955196380615234
0.0001,13,2.552544031041707,0.39394546048905893,-0.41053442415497765,62,78,78,1.0663408464797312e-07,1.0663419856386683e-07,2.3071291004654293e-08,2.307132159342646e-08,2.8428454348229443e-08,2.8428459489783827e-08,1.5365880751402992e-06,1.536588475432048e-06,0.0007178766744335932,1.0778649230721501e-05,1.1493726223190273e-12,869415282669.0513,2.3528900915067994,0.0,3277.568662282051,inf,0.0021406131402827086,-2.5051552587936943,14.96775221824646
0.0001,14,2.748893571891069,0.38866341628517115,-0.4204164338057065,62,78,78,7.397914150313093e-08,7.397921183571137e-08,1.8729025867516222e-08,1.872904679612404e-08,2.0059428360841345e-08,2.0059432253035446e-08,8.596201520283087e-07,8.596203328420453e-07,0.0001975983882793436,4.3051874602039195e-06,3.1849437511087405e-13,3139152461526.737,0.5866348848606039,726623.8880492805,2968.824239756864,4320188.90812166,0.004351677157020065,-2.1570484356682114,14.98724365234375
0.0001,15,2.945243112740431,0.385410749524486,-0.43113903911658386,62,78,78,5.662761282617e-08,5.662766505759167e-08,1.5955283821155512e-08,1.595530044766593e-08,1.5561881719062468e-08,1.556188521151337e-08,5.574006939036023e-07,5.57400772109946e-07,8.237376335559666e-05,2.3579034596537975e-06,1.3352256735141188e-13,7488753744563.694,0.23935038506838519,3277566.3957701577,2905.6628630057994,2284851.881026196,0.0067718796805316134,-2.1452385454952174,14.973615169525146
0.0001,16,3.141592653589793,0.3843124583665001,-0.4422901763788192,62,78,78,4.518000015949368e-08,4.51800420564586e-08,1.3770306771525436e-08,1.3770320619615442e-08,1.2547114304492e-08,1.254711729197282e-08,3.8167022723527376e-07,3.816702575736714e-07,4.092513935185405e-05,1.4765412638702178e-06,6.6710196399753e-14,14989598724436.525,0.12128271158206738,7472878.8244252205,2963.5259281425724,2005866.6916212784,0.009339460143684239,-2.1672915296057482,14.999321222305298
0.0001,17,3.3379421944391554,0.385410749524486,-0.4534413136410545,62,78,78,3.6784520294934544e-08,3.678455474108736e-08,1.1921096902944696e-08,1.1921108929373011e-08,1.0300151771635808e-08,1.030015429448272e-08,2.674237541965939e-07,2.6742376547847657e-07,2.229350293739489e-05,9.937900557580995e-07,3.655612470718208e-14,27354587350463.855,0.06905980784096223,13904654.253592206,3097.754894549211,1967297.197871491,0.012023164773197158,-2.1734553041547184,14.965186834335327
0.0001,18,3.5342917352885173,0.38866341628517115,-0.4641639189519319,62,78,78,3.0328508041878144e-08,3.032853716011264e-08,1.0341002545368137e-08,1.0341013170174333e-08,8.54824971141606e-09,8.548252410369001e-09,1.900502527003551e-07,1.9005025710955502e-07,1.2942556483243631e-05,7.042297541944778e-07,2.1358258269344213e-14,46819691232913.44,0.04254281238595119,23215499.954318628,3287.048616788359,2016742.7505348157,0.014731984109156427,-2.1505392355987762,15.003353118896484
0.0001,19,3.730641276137879,0.39394546048905893,-0.4740459286026607,62,78,78,2.5280467287220814e-08,2.5280491984576595e-08,9.011159580702161e-09,9.011168969724723e-09,7.163787345077997e-09,7.163789531411722e-09,1.3711860296347857e-07,1.3711860514370154e-07,7.936865567254161e-06,5.21595019641206e-07,1.3186178713234582e-14,75836380264645.55,0.027923208370307352,35911939.14779517,3518.16572092548,2111731.6988242213,0.0173487889953058,-2.095743758642711,15.028488397598267
0.0001,20,3.9269908169872414,0.4010538961395984,-0.4827075825042584,62,78,78,2.132942105112007e-08,2.1329442678054815e-08,7.917757327112711e-09,7.917765885603492e-09,6.0720137471559735e-09,6.072015968137043e-09,1.0094710240623881e-07,1.0094710416864722e-07,5.132656421100043e-06,4.0257855637110784e-07,8.586776241531606e-15,116457543461643.9,0.019400123942814488,52144456.97099358,3779.7433436342512,2233363.817105734,0.019766704556529836,-2.010308157336347,14.957342863082886
0.0001,21,4.123340357836604,0.4097155500411961,-0.48981601815479786,62,78,78,1.8258651325427877e-08,1.825867060370617e-08,7.041317944144835e-09,7.041325469447348e-09,5.219357223435357e-09,5.2193596176743515e-09,7.631692509555298e-08,7.631692704259838e-08,3.5032304829860395e-06,3.23222750595346e-07,5.901617734744295e-15,169444471281541.62,0.014219565830164572,71520450.53855696,4058.9866693681765,2369175.1101343166,0.021909079510673914,-1.897139034188595,15.043643951416016
0.0001,22,4.319689898685965,0.41959755969192486,-0.4950980623586856,62,78,78,1.5900239101995863e-08,1.5900256325781407e-08,6.357339207313643e-09,6.357346118835771e-09,4.5626903675954954e-09,4.5626924212722916e-09,5.960533643570558e-08,5.960533812924539e-08,2.5274195580921307e-06,2.695676042327424e-07,4.286194004427402e-15,233306628572458.28,0.010970345959052448,93011935.12861335,4340.532193765888,2508351.516930067,0.02372962277235137,-1.7597235358398438,14.949185609817505
0.0001,23,4.516039439535327,0.4303201650028023,-0.49835072911937073,62,78,78,1.4119639757290444e-08,1.4119655310749197e-08,5.840046719075402e-09,5.840053203975553e-09,4.0663071749031575e-09,4.0663091237471675e-09,4.8328536939698186e-08,4.832853868117951e-08,1.9301085863009614e-06,2.332354342934111e-07,3.2932039384758577e-15,303655069219377.5,0.008892098468336674,114994411.32669498,4607.045702738577,2640607.1887850654,0.025202283349364862,-1.6016373123440806,14.932247638702393
0.0001,24,4.71238898038469,0.4414713022650376,-0.4994490202773567,62,78,78,1.2810258677545269e-08,1.2810273044916645e-08,5.465866047919434e-09,5.4658722667010245e-09,3.7012184666108088e-09,3.701220336420053e-09,4.0823661371034574e-08,4.082366357382688e-08,1.561893326157478e-06,2.0912141836620958e-07,2.6789024688113915e-15,373286616347165.9,0.007560993552513531,135422826.4414366,4840.91546195082,2756452.705619707,0.02631132404865865,-1.4263663396389743,14.944502830505371
