sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_residual_center_frobenius,primal_residual_radius,primal_residual_norm_upper,primal_residual_center_relative_to_forcing,primal_residual_upper_relative_to_forcing_center,primal_residual_inflation,dual_residual_center_frobenius,dual_residual_radius,dual_residual_norm_upper,dual_residual_center_relative_to_rhs,dual_residual_upper_relative_to_rhs_center,dual_residual_inflation,base_consistency_center_frobenius,base_consistency_radius,base_consistency_norm_upper,total_correction_center_frobenius,total_correction_radius,total_correction_norm_upper,correction_center_rouche_ratio,correction_rouche_ratio_upper,weighted_dual_residual_norm_upper,remainder_coefficient_upper,resolvent_budget_lower,rh26_unrounded_resolvent_budget,budget_retention_fraction,budget_to_rh23_lower_bound,base_inverse_norm_upper,base_inverse_neumann_defect_upper,corrected_feshbach_smallest_singular,corrected_determinant_phase,node_seconds
0.0002,11,2.1598449493429825,0.352237689448748,-0.4352108611702691,58,74,74,6.56468712417541e-14,3.7029125488248286e-05,3.702912555389516e-05,3.774336364919152e-14,2.1289723713493633e-05,564065352.2927246,2.2832588285407885e-14,7.057663089016216e-06,7.057663111848805e-06,5.891688366292309e-15,1.8211492770560926e-06,309104820.86515343,5.0183195675250396e-15,4.576553121714328e-06,4.576553126732649e-06,1.8413555381873584e-13,0.0008779666234531309,0.0008779666236372666,7.529131454341425e-12,0.20241308218298323,0.0016271271609815926,6.025109593614039e-08,13237716.350626579,3.0390877850466873e+25,4.355819011138968e-19,483472.75988395506,230.54758207019546,1.447947777600558e-11,0.0043383411285719065,-2.7737864714236364,4.6768481731414795
0.0002,12,2.356194490192345,0.343840099975311,-0.44210258474520486,58,74,74,4.873260068986365e-14,2.7560162081424014e-05,2.7560162130156618e-05,2.801858237287133e-14,1.584558718234175e-05,565538504.8204315,1.9000287163161814e-14,6.333121528366519e-06,6.3331215473668075e-06,4.902806875686357e-15,1.6341896098911594e-06,333317148.9979165,4.6816469416075104e-15,3.4080949545723403e-06,3.4080949592539875e-06,1.3713594276394764e-13,0.0005865244007936984,0.0005865244009308345,3.7656402371281405e-12,0.09282456815088609,0.0010022929487648715,2.7623356169872623e-08,32840883.861843087,6.581158301255659e+25,4.990137352504828e-19,1199426.8752375995,158.26207404416095,1.0106699554352139e-11,0.0063213925269790285,-2.5329751694500935,4.675650358200073
0.0002,13,2.552544031041707,0.3369483764003753,-0.45050017421864186,58,74,74,4.0504847669510045e-14,2.2572023146191198e-05,2.257202318669605e-05,2.3288073996937917e-14,1.2977679869860736e-05,557267203.4435794,1.6863093221513652e-14,5.919654292670152e-06,5.919654309533247e-06,4.351328413186943e-15,1.527499116262636e-06,351042020.0951656,4.5918474059358765e-15,2.7925581550072033e-06,2.792558159599051e-06,9.079741634744103e-14,0.00044906823253332105,0.00044906823262411854,1.7538171605505896e-12,0.05190077750146629,0.000684160308443289,1.5442882345599045e-08,61393929.01408234,1.2121513387763081e+26,5.06487325881773e-19,2242251.7233611117,115.5743687477616,7.459809469905391e-12,0.008659791261083,-2.496405407296888,4.702568531036377
0.0002,14,2.748893571891069,0.3318273637960024,-0.4600809149365383,58,74,74,3.486344102038288e-14,1.9224199339407625e-05,1.922419937427107e-05,2.0044573451925743e-14,1.1052864121666939e-05,551414284.178996,1.50377310584136e-14,5.530445207447142e-06,5.530445222484873e-06,3.880314576026842e-15,1.427068161105281e-06,367771254.91884583,4.171204146127084e-15,2.3794058703257337e-06,2.379405874496938e-06,5.21828666984373e-14,0.00035734310353553863,0.00035734310358772155,7.555442789897064e-13,0.03175918446005615,0.0004915232107257839,9.449140200074325e-09,102468668.58133054,2.1343361468166096e+26,4.800962057179414e-19,3742398.514099094,88.87588467519271,5.76535147383944e-12,0.011268078629586942,-2.498778586232021,4.6675262451171875
0.0002,15,2.945243112740431,0.32867385980468156,-0.4704766244060468,58,74,74,3.011476937612353e-14,1.656385523330761e-05,1.6563855263422384e-05,1.731434675064334e-14,9.523311634116216e-06,550024310.5482662,1.3842004350858277e-14,5.1054772363623544e-06,5.105477250204359e-06,3.5717709696643956e-15,1.3174100344384904e-06,368839448.4493709,4.261449051876982e-15,2.0510597262759485e-06,2.051059730537398e-06,2.5299845992235614e-14,0.00028424506130690646,0.0002842450613322064,3.113748133745956e-13,0.02014353077803778,0.0003618087062999041,5.992947044197711e-09,163501606.47100082,3.545354554031967e+26,4.611713835081968e-19,5971465.986446635,70.86677490581468,4.600205017026482e-12,0.014143268926093506,-2.4975509112500918,4.708225250244141
0.0002,16,3.141592653589793,0.3276090518162938,-0.48128780134223514,58,74,74,2.6111500718611204e-14,1.4281518928341659e-05,1.428151895445316e-05,1.501268603372261e-14,8.211092976170665e-06,546943628.7234874,1.2033808714146837e-14,4.66230948491924e-06,4.66230949695305e-06,3.105186758377156e-15,1.2030556623669144e-06,387434236.9653991,3.856985841507755e-15,1.7693426315261969e-06,1.769342635383183e-06,1.1945316668741975e-14,0.00022381160254436366,0.000223811602556309,1.0242132223348254e-13,0.013024404460538506,0.00027131660644708815,3.8748132576319984e-09,254715654.64360675,5.856180065105991e+26,4.3495188298824395e-19,9302819.102205945,58.19360708904341,3.757044712898288e-12,0.01724106066976837,-2.4795401574049944,4.674275875091553
0.0002,17,3.3379421944391554,0.32867385980468156,-0.49209897827842347,58,74,74,2.289945363322937e-14,1.230297345145608e-05,1.2302973474355537e-05,1.3165934483973463e-14,7.073537443984216e-06,537260568.3701862,1.0854277853915392e-14,4.237844880203958e-06,4.237844891058237e-06,2.8008223052525096e-15,1.0935274236410591e-06,390430846.53757477,3.553645861846758e-15,1.5251098730054214e-06,1.5251098765590674e-06,5.564960532746358e-15,0.0001752555862948677,0.00017525558630043268,4.523283659406222e-14,0.00860348554309959,0.00020804037093841445,2.5595151652503997e-09,387337620.7794067,8.93502368155702e+26,4.335048619724633e-19,14146487.472987792,49.09107735133078,3.149217414831961e-12,0.020461905338941176,-2.4400031589686666,4.670517444610596
0.0002,18,3.5342917352885173,0.3318273637960024,-0.5024946877479319,58,74,74,2.0185193916340538e-14,1.0618131603040613e-05,1.0618131623225808e-05,1.1605383469202063e-14,6.104845448833662e-06,526035651.04371387,9.338119410268655e-15,3.860127413392386e-06,3.860127422730507e-06,2.4095949528284238e-15,9.960617493130154e-07,413373105.77606463,3.2990059984231604e-15,1.317126727083188e-06,1.3171267303821942e-06,3.057425777400705e-15,0.00013777666827274063,0.00013777666827579808,2.568007824405393e-14,0.005855321040042005,0.0001640501657999718,1.7419062532761176e-09,570722263.089764,1.389437874860168e+27,4.107576692820476e-19,20844129.029110402,42.49864010664767,2.709937255413023e-12,0.023664783777275183,-2.3770847195176987,4.6857993602752686
0.0002,19,3.730641276137879,0.3369483764003752,-0.5120754284658284,58,74,74,1.772144938306801e-14,9.217457253214547e-06,9.217457270935997e-06,1.0188864995449313e-14,5.299534237003278e-06,520129988.901632,8.54738319729684e-15,3.54145969101452e-06,3.5414596995619038e-06,2.2055545134118614e-15,9.138331866184739e-07,414332622.9578558,3.2076932756070506e-15,1.1442214544421252e-06,1.1442214576498187e-06,3.080613835837368e-15,0.00010973086286204987,0.0001097308628651305,1.7762095738303122e-14,0.004138503685678458,0.00013356628763918363,1.2311415491517222e-09,808892768.667004,2.0539707601371924e+27,3.9381902817982426e-19,29542680.09369299,37.715038210018655,2.396159301086652e-12,0.02669698836335008,-2.290570035763323,4.742293834686279
0.0002,20,3.9269908169872414,0.343840099975311,-0.5204730179392654,58,74,74,1.576796912960137e-14,8.079012598140264e-06,8.079012613908234e-06,9.065720598870512e-15,4.644990770240949e-06,512368621.95153725,8.000182594460842e-15,3.2823039346715218e-06,3.2823039426717048e-06,2.0643556538932765e-15,8.469610064327754e-07,410278628.50834215,2.902472926603552e-15,1.0036880688061765e-06,1.0036880717086496e-06,2.9488149679306528e-15,8.914190656567537e-05,8.91419065686242e-05,1.3628831136200606e-14,0.0030533706578853,0.00011242849649372852,9.083112413355706e-10,1097582617.029175,2.6557778031666815e+27,4.132810417047863e-19,40086317.23179596,34.25292071380517,2.1690125717640268e-12,0.029424352781286498,-2.181540902472226,4.709742307662964
0.0002,21,4.123340357836604,0.352237689448748,-0.5273647415142012,58,74,74,1.4078166007138187e-14,7.172411732595651e-06,7.172411746673818e-06,8.094176143815033e-15,4.123744813359203e-06,509470604.55439454,7.291065643311438e-15,3.077105096561076e-06,3.077105103852142e-06,1.881376131852069e-15,7.94011792075744e-07,422037772.5819775,2.808160719282269e-15,8.917758965026594e-07,8.917758993108202e-07,2.3513136552948005e-15,7.41927231860099e-05,7.419272318836122e-05,1.0475691038620899e-14,0.0023571051185462743,9.775972448302052e-05,7.011729962336125e-10,1422819903.5620942,3.5381350013749564e+27,4.0213838731681282e-19,51964753.38893543,31.770031039649762,2.0064854981008718e-12,0.031748009612975456,-2.051993301005565,4.738720893859863
0.0002,22,4.319689898685965,0.36181843016664444,-0.532485754118574,58,74,74,1.2834050583519367e-14,6.4650194333661304e-06,6.465019446200182e-06,7.37887776070875e-15,3.717032896486724e-06,503739595.23754174,6.651788767031932e-15,2.91846777090754e-06,2.9184677775593293e-06,1.7164180426623848e-15,7.530772436970828e-07,438749316.8790997,2.6492569269978925e-15,8.044558155253215e-07,8.044558181745785e-07,1.9794309800901097e-15,6.342874254490685e-05,6.342874254688629e-05,9.713508061450538e-15,0.0019047368580758044,8.764028596727123e-05,5.665961530489536e-10,1761563783.6067142,4.485840794927021e+27,3.926942270440903e-19,64336482.33682303,30.029554136555902,1.8946455210749893e-12,0.03360512730698631,-1.9044223883082232,4.700628042221069
0.0002,23,4.516039439535327,0.37221413963615296,-0.5356392581098949,58,74,74,1.185354215635729e-14,5.926386732246177e-06,5.92638674409972e-06,6.815138995593975e-15,3.4073485267037845e-06,499967576.43632126,6.061264092917556e-15,2.799376671496351e-06,2.7993766775576156e-06,1.5640399018665053e-15,7.223471468881516e-07,461847006.6052098,2.4514605111078125e-15,7.379683809976954e-07,7.37968383449156e-07,1.6177195353875755e-15,5.577225128337473e-05,5.5772251284992455e-05,6.819873585105335e-15,0.0016102891240792436,8.082524385789492e-05,4.790016537880559e-10,2084313703.2626574,5.485355982329069e+27,3.799778373504326e-19,76124073.96330456,28.8725860444564,1.8192849467572387e-12,0.0349606377899324,-1.741519647279874,4.679032325744629
0.0002,24,4.71238898038469,0.3830253165723413,-0.5367040660982827,58,74,74,1.1159535253860387e-14,5.530680763457927e-06,5.5306807746174635e-06,6.416122951104575e-15,3.1798392178545723e-06,495601353.35423136,6.031218614791965e-15,2.7141085296568134e-06,2.7141085356880323e-06,1.5562870097405888e-15,7.003446777335947e-07,450009974.60637563,2.6049200137872054e-15,6.891240382318403e-07,6.891240408367604e-07,2.3195659080636457e-15,5.046326607528309e-05,5.046326607760267e-05,7.709876454982901e-15,0.0014229448269424663,7.653144543244275e-05,4.2327099390689665e-10,2359190848.293057,5.878959293379787e+27,4.0129395877085056e-19,86163238.45488843,28.197636372006073,1.774995677117898e-12,0.035798026453881006,-1.5660166780771345,4.66760516166687
0.0002,25,4.908738521234052,0.3938364935085296,-0.5356392581098949,58,74,74,1.075301044180001e-14,5.257703785563189e-06,5.2577037963162e-06,6.182393398975442e-15,3.0228923723310516e-06,488951798.64031476,5.56358999556962e-15,2.6584620568798974e-06,2.6584620624434877e-06,1.4356207908617419e-15,6.859857415086723e-07,477832130.7933305,2.5875224720576173e-15,6.554289969096385e-07,6.554289994971611e-07,2.394340566078757e-15,4.69889321004901e-05,4.6988932102884444e-05,9.711456098530275e-15,0.0013131447291264697,7.429292991180049e-05,3.906102196367269e-10,2556735090.545419,6.86210711759555e+27,3.725874642774867e-19,93378022.1434975,27.94583044169564,1.7589424250420945e-12,0.03611325970676787,-1.3806298705919147,4.683959484100342
0.0002,26,5.105088062083414,0.40423220297803814,-0.532485754118574,58,74,74,1.035176338722868e-14,5.093114117122667e-06,5.093114127474431e-06,5.951698268996114e-15,2.9282623068536324e-06,492004495.944911,5.6544413829158786e-15,2.629703978364725e-06,2.6297039840191667e-06,1.4590639526793424e-15,6.78565048157066e-07,465068749.66720104,2.413973254005687e-15,6.351125017886118e-07,6.351125042025852e-07,3.4267443126272067e-15,4.502514851198681e-05,4.502514851541356e-05,1.4577254011377957e-14,0.0012648075700650342,7.387137211629885e-05,3.7623532894144246e-10,2654549202.5959587,7.375994720797927e+27,3.5989033385707094e-19,96950425.22693676,28.09113599511355,1.765722832653361e-12,0.03591222117193404,-1.1880500021559532,4.730085611343384
