u,rank_by_modulus,real,imag,modulus,condition_number
1.395,6,-0.24977151552011212,0.0,0.24977151552011212,4.817051075730834
1.395,7,0.23628611629259821,0.025046105430246993,0.23760984017894185,8.985645216513975
1.395,8,0.23628611629259821,-0.025046105430246993,0.23760984017894185,8.985645216513975
1.395,9,-0.11387492244798385,0.0,0.11387492244798385,27.122263543410615
1.395,10,0.055373620618179624,0.0,0.055373620618179624,63.77799662986164
1.395,11,0.00011404131446547932,0.044832874516596136,0.04483301955972027,90.36654879898067
1.395,12,0.00011404131446547932,-0.044832874516596136,0.04483301955972027,90.36654879898067
1.4000000000000001,1,-0.9995714355659718,0.0,0.9995714355659718,1.2624985846256154
1.4000000000000001,2,3.678884004415517e-05,0.7230405003990426,0.7230405013349643,1.3375686996206086
1.4000000000000001,3,3.678884004415517e-05,-0.7230405003990426,0.7230405013349643,1.3375686996206086
1.4000000000000001,4,0.6347441495232699,0.0,0.6347441495232699,2.112828173311783
1.4000000000000001,5,-0.3853444862227283,0.0,0.3853444862227283,3.818047350660323
1.4000000000000001,6,-0.24963170043907304,0.0,0.24963170043907304,4.993825467389277
1.4000000000000001,7,0.2319418280835683,0.025102412074302694,0.23329625523504585,9.90821014256539
1.4000000000000001,8,0.2319418280835683,-0.025102412074302694,0.23329625523504585,9.90821014256539
1.4000000000000001,9,-0.10687445728889161,0.0,0.10687445728889161,28.410664414167716
1.4000000000000001,10,0.05307822855354385,0.0,0.05307822855354385,69.56221889998191
1.4000000000000001,11,8.932014883912716e-05,0.04392737247526694,0.04392746328516852,110.68530273131316
1.4000000000000001,12,8.932014883912716e-05,-0.04392737247526694,0.04392746328516852,110.68530273131316
1.405,1,-0.9994715930878991,0.0,0.9994715930878991,1.2523020206919953
1.405,2,4.3889134208635605e-05,0.7246266811776201,0.724626682506757,1.34915876216608
1.405,3,4.3889134208635605e-05,-0.7246266811776201,0.724626682506757,1.34915876216608
1.405,4,0.6319969899765175,0.0,0.6319969899765175,2.078867564905382
1.405,5,-0.3784926899616435,0.0,0.3784926899616435,3.783306849237743
1.405,6,-0.2491116470957501,0.0,0.2491116470957501,5.199750073339892
1.405,7,0.22704784656434313,0.024707720678444317,0.22838825733962226,11.184365398100912
1.405,8,0.22704784656434313,-0.024707720678444317,0.22838825733962226,11.184365398100912
1.405,9,-0.09961887678109173,0.0,0.09961887678109173,30.48118732306783
1.405,10,0.051571429192325,0.0,0.051571429192325,77.6855835615657
1.405,11,7.218043452955018e-05,0.042814497907981926,0.04281455875199133,136.73848588934396
1.405,12,7.218043452955018e-05,-0.042814497907981926,0.04281455875199133,136.73848588934396
1.4100000000000001,1,-0.9993505759984249,0.0,0.9993505759984249,1.2422886892521148
1.4100000000000001,2,5.123112522684159e-05,0.7257193160937907,0.725719317902085,1.3629093029194355
1.4100000000000001,3,5.123112522684159e-05,-0.7257193160937907,0.725719317902085,1.3629093029194355
1.4100000000000001,4,0.6290681562978631,0.0,0.6290681562978631,2.046660214107259
1.4100000000000001,5,-0.3709999575564897,0.0,0.3709999575564897,3.7702237691282865
1.4100000000000001,6,-0.24822119017308583,0.0,0.24822119017308583,5.440400290057065
1.4100000000000001,7,0.22156077678674696,0.023753592904382143,0.2228304534533236,13.050187117650662
1.4100000000000001,8,0.22156077678674696,-0.023753592904382143,0.2228304534533236,13.050187117650662
1.4100000000000001,9,-0.09206884864170825,0.0,0.09206884864170825,34.119051059799475
1.4100000000000001,10,0.05104352135895227,0.0,0.05104352135895227,87.44488514436816
1.4100000000000001,11,7.300256039309864e-05,0.0415419481901504,0.04154201233458683,169.25770708647278
1.4100000000000001,12,7.300256039309864e-05,-0.0415419481901504,0.04154201233458683,169.25770708647278
1.415,1,-0.9992044937915432,0.0,0.9992044937915432,1.2324758330154115
1.415,2,5.8317782823724684e-05,0.7263133687394596,0.7263133710807106,1.378965626226983
