sigma,z,finite_noise_bulk_det2_real,finite_noise_bulk_det2_imag,trace_truncation_real,trace_truncation_imag,trace_product_error,deterministic_centered_det2_length_28_real,deterministic_centered_det2_length_28_imag,noise_to_deterministic_truncation_error
0.05,1.0,1.2996913234365939,-1.0842021724855042e-19,1.2996913234365983,4.860871605745778e-18,4.440894878781361e-15,1.8217661079343055,-0.0,0.5220747844977116
0.05,1.1,1.358071680083771,-3.686075615288402e-18,1.3580716800837735,5.4212498010669554e-18,2.44250763337807e-15,2.3902335093584,-0.0,1.032161829274629
0.04,0.25,1.0219006785386429,5.085519330660764e-21,1.0219006785386415,-2.7656742412711562e-19,1.3322676593221262e-15,1.025602254045864,-0.0,0.0037015755072211665
0.04,0.5,1.0865158850293901,1.07107150743868e-18,1.0865158850293914,-1.1637750869592936e-18,1.3322695039993135e-15,1.11062436476321,-0.0,0.0241084797338198
0.04,0.75,1.192884030786489,-3.469446951126936e-18,1.19288403078649,-2.817187366485235e-18,1.1102232162274381e-15,1.3012577343323457,-0.0,0.10837370354585674
0.04,0.9,1.2766259808477114,-2.879229596678976e-20,1.2766259808477143,-4.321743869519056e-18,2.88658305628474e-15,1.5357354817306164,-0.0,0.25910950088290496
0.04,1.0,1.3407655680300028,6.88117644602504e-18,1.340765568030007,-5.667395243277876e-18,4.218866155817286e-15,1.8217661079343055,-0.0,0.4810005399043027
0.04,1.1,1.411570523099877,-5.256686160410546e-18,1.411570523099885,-7.471509853032539e-18,7.993606084136618e-15,2.3902335093584,-0.0,0.9786629862585232
0.03,0.25,1.023197739768061,-2.6204978408694975e-20,1.0231977397680652,3.326470102801965e-19,4.218847508837434e-15,1.025602254045864,-0.0,0.0024045142778030826
0.03,0.5,1.0937301165383466,3.9031261665731656e-18,1.0937301165383508,1.5012685424419422e-18,4.218848177283597e-15,1.11062436476321,-0.0,0.016894248224863295
0.03,0.75,1.2170399620695118,-6.9388872637967926e-18,1.2170399620695147,4.197040493029431e-18,2.886601344190767e-15,1.3012577343323457,-0.0,0.08421777226283389
0.03,0.9,1.3204146765891187,1.3877772918516031e-17,1.320414676589122,7.225611058495121e-18,3.330675716867058e-15,1.5357354817306164,-0.0,0.21532080514149765
0.03,1.0,1.4032673640768485,1.0830044091323107e-17,1.4032673640768538,1.0251407712037982e-17,5.3290705496152405e-15,1.8217661079343055,-0.0,0.418498743857457
0.03,1.1,1.4983514579362098,-3.4694404379062784e-18,1.498351457936218,1.447509920163021e-17,8.215669979342871e-15,2.3902335093584,-0.0,0.8918820514221903
0.02,0.25,1.024169415419493,-1.623231210151696e-18,1.024169415419501,5.910796217616692e-19,7.993606083994533e-15,1.025602254045864,-0.0,0.0014328386263711135
0.02,0.5,1.1012568528228805,1.4568925334369516e-19,1.1012568528228883,1.721680493346914e-18,7.771561332173355e-15,1.11062436476321,-0.0,0.009367511940329365
0.02,0.75,1.2476437719620932,4.58075099805303e-18,1.2476437719620992,7.807893439692374e-19,5.9952055372473194e-15,1.3012577343323457,-0.0,0.05361396237025251
0.02,0.9,1.3796802222801505,-3.5668664927869174e-17,1.379680222280163,-3.3382062740417907e-18,1.2434539906320422e-14,1.5357354817306164,-0.0,0.15605525945046583
0.02,1.0,1.4904670333558814,5.42430407050796e-20,1.490467033355893,-9.1172835357191e-18,1.1546323098686037e-14,1.8217661079343055,-0.0,0.3312990745784241
0.02,1.1,1.6221177791105823,-1.4223426769604845e-17,1.622117779110587,-1.869366210710377e-17,4.662938846173957e-15,2.3902335093584,-0.0,0.7681157302478179
0.015,0.25,1.0245390155613594,1.6797726477286987e-18,1.024539015561367,-3.305113746925471e-19,7.549516835100107e-15,1.025602254045864,-0.0,0.001063238484504625
