outer_mode_order,mu_real,mu_imag,mu_modulus,two_step_real,two_step_imag,two_step_modulus,inside_selected_contour,selected_reference_target,sigma
10,-0.00671765702564367,0.712861194681244,0.7128928459441044,-0.5081259559664563,-0.009577514025518397,0.5082162097982846,0,0,0.0001
11,-0.00671765702564367,-0.712861194681244,0.7128928459441044,-0.5081259559664563,0.009577514025518397,0.5082162097982846,0,0,0.0001
12,0.2680957295119864,-0.6578354074311182,0.710368033805456,-0.3608721030875012,-0.3527257269081209,0.5046227434526295,0,0,0.0001
13,0.2680957295119864,0.6578354074311182,0.710368033805456,-0.3608721030875012,0.3527257269081209,0.5046227434526295,0,0,0.0001
14,0.4303052480700693,0.0,0.4303052480700693,0.1851626065166439,0.0,0.1851626065166439,0,0,0.0001
15,0.36558808977043866,-0.1623141515350776,0.4000006689626287,0.10730876759344618,-0.11868024120483707,0.16000053517055046,0,0,0.0001
16,0.36558808977043866,0.1623141515350776,0.4000006689626287,0.10730876759344618,0.11868024120483707,0.16000053517055046,0,0,0.0001
17,0.2743348846850029,-0.2712388068743602,0.38578506880095853,0.0016891386005073632,-0.14882053361195074,0.1488301193097603,0,0,0.0001
18,0.2743348846850029,0.2712388068743602,0.38578506880095853,0.0016891386005073632,0.14882053361195074,0.1488301193097603,0,0,0.0001
19,0.16535591073735273,-0.3283706355464442,0.3676545273826436,-0.08048469707339631,-0.10859605100037122,0.13516985150495503,0,0,0.0001
20,0.16535591073735273,0.3283706355464442,0.3676545273826436,-0.08048469707339631,0.10859605100037122,0.13516985150495503,0,0,0.0001
21,0.046505970245090456,0.35636234255624033,0.35938409043891806,-0.12483131392373395,0.03314595299878249,0.12915692446060842,0,0,0.0001
