component_period,original_period,boundary_clearance,multiplier,absolute_multiplier_over_lambda_k,two_step_inverse_jacobian_radius,one_step_cycle_radius,limiting_two_step_radius,limiting_one_step_radius,balancing_condition_number,condition_over_lambda_k,eigenvalue_condition_number
37,74,1.0421501475319410451e-17,-409272787.35248447251,1.946342902686057674,0.58511724134077237238,0.76492956626134694885,0.59574394197655937353,0.77184450634603818079,85737764.0907862,0.40773560761212496,3561777.353527889
38,76,3.6987038958466380278e-18,-686994459.74789405481,1.9463429037027253092,0.5853944478737403634,0.76511074222869225338,0.59574394197655937353,0.77184450634603818079,143848989.18988535,0.407542528679616,5815698.687449342
39,78,1.3127101244119534356e-18,-1153170702.3026811952,1.9463429043083988839,0.58565756008966134182,0.76528266679029216192,0.59574394197655937353,0.77184450634603818079,241352623.8469596,0.4073594359644456,9502981.669844633
40,80,4.6589505903644790645e-19,-1935681794.2461552733,1.9463429046692252433,0.58590762623301127673,0.76544603090813089455,0.59574394197655937353,0.77184450634603818079,404955211.63100296,0.4071855742042466,15539027.747578982
41,82,1.6535120887430358312e-19,-3249184184.7988121996,1.9463429048841853598,0.58614559311671323323,0.76560145840816763247,0.59574394197655937353,0.77184450634603818079,679471123.158218,0.4070202624461481,25426005.432976127
42,84,5.8684937179035444255e-20,-5453994503.464778694,1.9463429050122465465,0.58637231810052315238,0.76574951394076846151,0.59574394197655937353,0.77184450634603818079,1140101229.537081,0.40686288511943797,41630183.258841775
43,86,2.0827920610963880809e-20,-9154930699.8964979391,1.9463429050885382225,0.58658857941118738492,0.76589070983475663577,0.59574394197655937353,0.77184450634603818079,1913038170.9238167,0.40671288436767966,68202612.0003567
44,88,7.3920548918230480188e-21,-15367224163.012131762,1.9463429051339885263,0.58679508506612479928,0.76602551202040575333,0.59574394197655937353,0.77184450634603818079,3210045117.171018,0.406569753436926,111800499.97397533
45,90,2.6235204436591842695e-21,-25795015409.205060371,1.9463429051610652694,0.58699248061621478372,0.76615434516565575876,0.59574394197655937353,0.77184450634603818079,5386484708.554617,0.4064330309534379,183368595.20493957
46,92,9.3111585599357236574e-22,-43298829567.34085385,1.9463429051771960751,0.58718135588606307072,0.7662775971448356722,0.59574394197655937353,0.77184450634603818079,9038702182.716164,0.4063022959541781,300908080.3854411
47,94,3.3046311469272646104e-22,-72680268344.647821095,1.9463429051868059048,0.58736225085997888783,0.76639562293894847624,0.59574394197655937353,0.77184450634603818079,15167453362.96984,0.4061771635566896,494037989.2773532
48,96,1.1728494308053926616e-22,-121999173174.50680986,1.9463429051925309027,0.58753566083736790228,0.76650874805012362773,0.59574394197655937353,0.77184450634603818079,25452171060.190105,0.4060572811742577,811512140.0045322
49,98,4.1625698184603600665e-23,-204784580385.24355047,1.9463429051959415355,0.58770204096118959192,0.76661727149940314394,0.59574394197655937353,0.77184450634603818079,42711245024.88009,0.4059423251978941,1333610645.0510988
50,100,1.4773411691569221429e-23,-343745971979.20806396,1.9463429051979733993,0.58786181020665685772,0.76672146846599832099,0.59574394197655937353,0.77184450634603818079,71674479490.45102,0.40583199807919507,2192573535.9138737
51,102,5.2432440181621482079e-24,-577002882881.09383021,1.9463429051991838699,0.58801535490377185265,0.76682159261706490671,0.59574394197655937353,0.77184450634603818079,120279466633.18367,0.4057260257586656,3606306169.409931
52,104,1.8608841618930657622e-24,-968541754645.33861491,1.9463429051999050004,0.58816303185604370333,0.76691787816952324803,0.59574394197655937353,0.77184450634603818079,201847233671.51215,0.40562415539290225,5933992987.670462
53,106,6.6044796923189962445e-25,-1625768533091.7916921,1.9463429052003346095,0.588305171108383276,0.76701054171920171595,0.59574394197655937353,0.77184450634603818079,338733559068.5868,0.4055261533402913,9767886227.265518
54,108,2.3440014644364437124e-25,-2728971993736.1516433,1.9463429052005905465,0.58844207840936819813,0.76709978386737158442,0.59574394197655937353,0.77184450634603818079,568456891032.2916,0.40543180337235024,16084842176.408997
55,110,8.3191153902237049283e-26,-4580780099386.6283935,1.9463429052007430195,0.58857403740653819533,0.7671857906703813524,0.59574394197655937353,0.77184450634603818079,953982747079.989,0.4053409050811402,26496563235.95912
56,112,2.9525442678205777599e-26,-7689176131927.9706276,1.9463429052008338543,0.58870131160789125558,0.76726873493443694182,0.59574394197655937353,0.77184450634603818079,1600983969292.2092,0.4052532724583127,43662946892.397026
57,114,1.0478899792259176068e-26,-12906847372072.360911,1.9463429052008879686,0.58882414613812320087,0.76734877737448907782,0.59574394197655937353,0.77184450634603818079,2686808669710.0303,0.40516873262465003,71975026004.71196
58,116,3.7190751736724708687e-27,-21665092101902.42778,1.9463429052009202069,0.58894276931423924683,0.76742606765358136799,0.59574394197655937353,0.77184450634603818079,4509097468022.178,0.4050871246918793,118683606593.1397
59,118,1.319940110281805833e-27,-36366449703243.636049,1.9463429052009394126,0.58905739406184575785,0.76750074531680147278,0.59574394197655937353,0.77184450634603818079,7567378742044.63,0.4050082987406185,195764913850.0971
60,120,4.68461059099891726e-28,-61043759140189.047509,1.9463429052009508543,0.58916821919060528011,0.76757294063209737417,0.59574394197655937353,0.77184450634603818079,12700012122282.555,0.4049321149014377,323005226274.7515
61,122,1.6626191005449232092e-28,-102466437069688.47158,1.9463429052009576707,0.58927543054492732137,0.76764277534861703496,0.59574394197655937353,0.77184450634603818079,21314025402420.09,0.4048584425264964,533102105904.482
62,124,5.9008154889291492355e-29,-171997446973150.10761,1.9463429052009617315,0.58937920204390475418,0.76771036338185819372,0.59574394197655937353,0.77184450634603818079,35770859186990.72,0.40478715944202665,880102412491.9257
63,126,2.0942634078348983303e-29,-288710358350430.14682,1.9463429052009641506,0.58947969662273620234,0.76777581143373890634,0.59574394197655937353,0.77184450634603818079,60033780364413.43,0.4047181512720219,1453362674773.3813
64,128,7.4327679447441456639e-30,-484621559713300.77506,1.9463429052009655919,0.58957706708635277994,0.76783921955468827168,0.59574394197655937353,0.77184450634603818079,100754470791658.34,0.40465131082619465,2400650714877.07
65,130,2.6379699475115587321e-30,-813472912717204.4387,1.9463429052009664505,0.58967145688465520384,0.76790068165398525308,0.59574394197655937353,0.77184450634603818079,169096713771610.7,0.4045865375441067,3966381823983.0225
66,132,9.3624414157782149916e-31,-1365474082738070.4115,1.946342905200966962,0.58976300081763299431,0.76796028596382052386,0.59574394197655937353,0.77184450634603818079,283797206153676.8,0.40452373699063593,6554916822665.718
67,134,3.32283198853595258e-31,-2292048624460536.5721,1.9463429052009672667,0.58985182567765477387,0.76801811546190417569,0.59574394197655937353,0.77184450634603818079,476302736099488.2,0.40446282039642173,10835368537219.781
68,136,1.179309106856508349e-31,-3847372105633130.5478,1.9463429052009674482,0.58993805083536538929,0.76807424825687613291,0.59574394197655937353,0.77184450634603818079,799392299757451.2,0.4044037042393538,17915168109672.562
69,138,4.1854959092514083979e-32,-6458096901276610.2097,1.9463429052009675564,0.59002178877488304997,0.76812875794028376553,0.59574394197655937353,0.77184450634603818079,1341648300403493.0,0.40434630986244297,29627553345733.598
70,140,1.4854778873925722327e-32,-10840390386262150.132,1.9463429052009676208,0.59010314558334215313,0.76818171390846199518,0.59574394197655937353,0.77184450634603818079,2251744809222579.0,0.4042905631246967,49007835794582.99
71,142,5.2721221135465547086e-33,-18196392145081494.052,1.9463429052009676592,0.59018222139926163432,0.76823318165727626577,0.59574394197655937353,0.77184450634603818079,3779212761722618.5,0.40423639408167034,81082541461055.12
72,144,1.871133311108052896e-33,-30543981840099792.966,1.9463429052009676821,0.59025911082372324719,0.76828322305236058512,0.59574394197655937353,0.77184450634603818079,6342860079080775.0,0.4041837366925628,134177176821036.39
73,146,6.6408550343363914139e-34,-51270318819795236.074,1.9463429052009676957,0.59033390329790954146,0.76833189657719504406,0.59574394197655937353,0.77184450634603818079,1.0645607990722266e+16,0.40413252855164833,222083810983452.88
74,148,2.3569114677860749611e-34,-86060999042122966.347,1.9463429052009677038,0.59040668345016929331,0.76837925756111434304,0.59574394197655937353,0.77184450634603818079,1.7867232788503116e+16,0.40408271064173884,367654341041039.3
75,150,8.3649343921217133782e-35,-144459713273104827.88,1.9463429052009677086,0.59047753141544176314,0.76842535838911625753,0.59574394197655937353,0.77184450634603818079,2.9987865162120016e+16,0.40403422710712333,608758067508515.9
76,152,2.9688059284733251373e-35,-242486248024304471.49,1.9463429052009677115,0.59054652312957443508,0.76847024869514267688,0.59574394197655937353,0.77184450634603818079,5.0330955399377304e+16,0.40398702504459416,1008160734448392.6
77,154,1.0536614189394490377e-35,-407030992576749581.39,1.9463429052009677132,0.59061373060080670103,0.76851397554033244857,0.59574394197655937353,0.77184450634603818079,8.447459481030971e+16,0.40394105431116645,1669908657855823.5
