status,parent_arc,start_numerator,end_numerator,turn_denominator,refinement_level,theta_start,theta_end,theta_midpoint,center_real,center_imag,disc_radius,center_id,center_inverse_upper,distance_upper,neumann_product_upper,transported_inverse_upper,continuation_product_upper
closed,4,313,314,4096,6,0.48013598660820567,0.4816699673960913,0.4809029770021485,-0.09062492401247414,-0.42941459153767786,0.00020133402185917659,turn_00040315_of_00524288,626.1982692650288,0.0007896067582947573,0.49445038544414693,1238.6484950941378,0.7579950531911711
closed,4,157,158,2048,5,0.4816699673960913,0.48473792897186263,0.483203948183977,-0.09090493908054985,-0.42887941874894797,0.0004026680141084395,turn_00040315_of_00524288,626.1982692650288,0.0004183972349493977,0.2619996243905865,848.5067080730648,0.5192464931465707
closed,4,316,317,4096,6,0.48473792897186263,0.48627190975974827,0.4855049193658054,-0.09118618482343797,-0.42834489168297873,0.0002013340218591733,turn_00040315_of_00524288,626.1982692650288,0.0008210651791572132,0.5141495941420278,1288.8705282837288,0.7887285929077955
closed,4,317,318,4096,6,0.48627190975974827,0.4878058905476339,0.48703890015369106,-0.09137436495852903,-0.4279889004382224,0.00020133402185919307,turn_00040855_of_00524288,604.1038486912289,0.0008776903310262362,0.530216106932028,1285.9186055657776,0.7869221540137333
closed,4,159,160,2048,5,0.4878058905476339,0.4908738521234052,0.48933987133551954,-0.09165765851389923,-0.4274554558641268,0.0004026680141084658,turn_00040855_of_00524288,604.1038486912289,0.00047502242975861316,0.2869628780318372,847.226364629866,0.5184629827316513
closed,5,320,321,4096,6,0.4908738521234052,0.4924078329112908,0.491640842517348,-0.09194217875883437,-0.4269226645519149,0.0002013340218591957,turn_00040855_of_00524288,604.1038486912289,0.000732981595495564,0.4427970028587077,1084.1719297824304,0.6634626068966814
closed,5,321,322,4096,6,0.4924078329112908,0.49394181369917645,0.49317482330523366,-0.09213253967270149,-0.4265678346601954,0.00020133402185918355,turn_00041327_of_00524288,585.3214673903328,0.0007518566504816854,0.4400778379271207,1045.362207531531,0.6397128686953935
closed,5,161,162,2048,5,0.49394181369917645,0.4970097752749477,0.4954757944870621,-0.09241910104952394,-0.4260361383846207,0.00040266801410845845,turn_00041327_of_00524288,585.3214673903328,0.0004561473648831922,0.26699284495966363,798.5208102888483,0.488657457274149
closed,5,324,325,4096,6,0.4970097752749477,0.49854375606283335,0.49777676566889056,-0.09270688508447968,-0.425505102885458,0.00020133402185917827,turn_00041327_of_00524288,585.3214673903328,0.0008588152812449388,0.502683020635529,1176.9585428961707,0.7202436824166035
closed,5,325,326,4096,6,0.49854375606283335,0.500077736850719,0.4993107464567762,-0.09289941961014206,-0.4251514477059201,0.00020133402185919794,turn_00020917_of_00262144,566.1785809769322,0.0007361274380416207,0.41677958828858935,970.7797765779997,0.5940719028026021
closed,5,163,164,2048,5,0.500077736850719,0.5031456984264903,0.5016117176386047,-0.09318923801954287,-0.42462151974693063,0.00040266801410845677,turn_00020917_of_00262144,566.1785809769322,0.0004718765856185185,0.26716641564173266,772.5882015529178,0.4727879113811605
closed,5,82,83,1024,4,0.5031456984264903,0.5092816215780329,0.5062136600022615,-0.09377252903946681,-0.42356367142928614,0.0008053357913376753,turn_00042341_of_00524288,548.3887964862932,0.0011230660329762676,0.6158768301984912,1427.6379026281247,0.8736477477075479
closed,5,332,333,4096,6,0.5092816215780329,0.5108156023659185,0.5100486119719757,-0.09426231941654065,-0.42268418925028545,0.00020133402185919987,turn_00042341_of_00524288,548.3887964862932,0.0008902736970629012,0.4882161212757272,1071.5241712053648,0.6557227691030357
closed,5,333,334,4096,6,0.5108156023659185,0.5123495831538042,0.5115825927598613,-0.09445917933778299,-0.4223329233951351,0.00020133402185919792,turn_00021443_of_00262144,530.9296510640793,0.0008242110211229786,0.43759806984799154,944.0395251143204,0.5777081172647072
closed,5,167,168,2048,5,0.5123495831538042,0.5154175447295755,0.5138835639416898,-0.09475547895562801,-0.4218065918564532,0.00040266801410845037,turn_00021443_of_00262144,530.9296510640793,0.00042154307911636203,0.22380971990372764,684.019968657978,0.41858828762176165
closed,5,84,85,1024,4,0.5154175447295755,0.521553467881118,0.5184855063053467,-0.09535170748094135,-0.4207559810709242,0.0008053357913376648,turn_00043395_of_00524288,516.2076536935865,0.0012174413351105512,0.628452535107005,1389.3451105695292,0.850214346651272
closed,5,170,171,2048,5,0.521553467881118,0.5246214294568893,0.5230874486690036,-0.09595276452605604,-0.4197081252098512,0.00040266801410844235,turn_00043395_of_00524288,516.2076536935865,0.001198566283914255,0.6187090892156187,1353.842011685141,0.8284881075819079
closed,5,171,172,2048,5,0.5246214294568893,0.5276893910326605,0.526155410244775,-0.09635614545203072,-0.41901109611048065,0.0004026680141084636,turn_00021969_of_00262144,502.13210488776645,0.0005096267151029455,0.25589993516168014,674.8179829776942,0.41295710197642566
closed,5,172,173,2048,5,0.5276893910326605,0.5307573526084318,0.5292233718205462,-0.09676166293475737,-0.41831530784670173,0.00040266801410844555,turn_00021969_of_00262144,502.13210488776645,0.0011010452135802918,0.5528701506716723,1123.0118178020598,0.6872308051401553
closed,5,173,174,2048,5,0.5307573526084318,0.5338253141842031,0.5322913333963175,-0.09716931315735096,-0.4176207669675385,0.00040266801410846425,turn_00044481_of_00524288,489.62583887466553,0.0006071478799013548,0.2972752900176755,696.7534112853112,0.4263805600540457
closed,5,174,175,2048,5,0.5338253141842031,0.5368932757599744,0.5353592949720888,-0.09757909228285237,-0.41692748001027424,0.0004026680141084564,turn_00044481_of_00524288,489.62583887466553,0.0010035241191488087,0.4913513386691952,962.6012532769303,0.5890670283534162
closed,5,175,176,2048,5,0.5368932757599744,0.5399612373357456,0.5384272565478601,-0.0979909964542644,-0.4162354535003898,0.00040266801410846306,turn_00000011_of_00000128,477.9305323085041,0.0008053360282168995,0.38489467665291927,776.9897514589155,0.4754814544390454
closed,5,176,177,2048,5,0.5399612373357456,0.543029198911517,0.5414952181236313,-0.0984050217945881,-0.4155446939515023,0.0004026680141084513,turn_00000011_of_00000128,477.9305323085041,0.0008053360282168966,0.3848946766529179,776.9897514589138,0.4754814544390443
closed,5,177,178,2048,5,0.543029198911517,0.5460971604872883,0.5445631796994026,-0.09882116440685931,-0.4148552078653036,0.0004026680141084444,turn_00022763_of_00262144,469.4238185227723,0.00067321060063901,0.3160210908219732,686.3132944945678,0.41999169597076097
closed,5,89,90,1024,4,0.5460971604872883,0.5522330836388308,0.5491651220630596,-0.09944933963652465,-0.4138233806714858,0.0008053357913376693,turn_00046019_of_00524288,461.39543849135725,0.0014187752646375822,0.6546164353481486,1335.8928614812532,0.8175040656059814
closed,5,90,91,1024,4,0.5522330836388308,0.5583690067903734,0.5553010452146021,-0.10029428033686481,-0.41245212866853415,0.000805335791337678,turn_00002907_of_00032768,454.1670385658029,0.001359004262389336,0.6172149412476681,1186.4805801097273,0.7260707246588254
