parent_arc,start_numerator,end_numerator,turn_denominator,theta_midpoint,center_id,stored_complement_inverse_upper,projected_feshbach_inverse_upper,stored_feshbach_computed_ratio_upper,stored_feshbach_remainder_coefficient_upper,stored_feshbach_full_ratio_upper,stored_feshbach_inverse_upper,complement_neumann_product_upper,corrected_complement_inverse_upper,corrected_feshbach_difference_upper,feshbach_rouche_product_upper,complement_homotopy_denominator_lower,feshbach_homotopy_denominator_lower,complement_homotopy_certified,feshbach_homotopy_certified
66,251,252,4096,0.38579616815323875,turn_00031445_of_00524288,419.5649987271892,688.2977431664189,1.4280399833535124e-06,7.275045510115183e-17,1.4280400138770572e-06,688.2987260845413,1.97324547400766e-12,419.5649987280172,1.4661877115592485e-09,1.0091751340670395e-06,0.9999999999980267,0.9999989908248659,True,True
67,252,253,4096,0.3873301489411244,turn_00031445_of_00524288,504.8573226179736,863.2011198831541,1.8125688669074217e-06,9.262401196431177e-17,1.8125689136693326e-06,863.2026844975063,2.3743816331144875e-12,504.85732261917235,2.1221389857066763e-09,1.8318360693388177e-06,0.9999999999976255,0.9999981681639305,True,True
68,253,254,4096,0.38886412972901,turn_00031445_of_00524288,633.6750219751099,1162.473280335567,2.470904863804067e-06,1.2665518166234524e-16,2.4709049440622926e-06,1162.4761527036403,2.98022087852263e-12,633.6750219769984,3.342066460459891e-09,3.885072561035287e-06,0.9999999999970197,0.9999961149274389,True,True
69,254,255,4096,0.39039811051689566,turn_00031445_of_00524288,850.7480329966301,1792.0973557739667,3.856546930806887e-06,1.982929692752928e-16,3.856547099504241e-06,1792.1042671084801,4.001131435472937e-12,850.7480330000342,6.0218395907621175e-09,1.0791764426447574e-05,0.9999999999959988,0.9999892082355735,True,True
70,255,256,4096,0.3919320913047813,turn_00031445_of_00524288,1294.0319638627063,3973.557597539284,8.658754177425245e-06,4.465905104895725e-16,8.658754755327643e-06,3973.592003897944,6.0859288159392815e-12,1294.0319638705819,1.3927161880032454e-08,5.534085908348921e-05,0.999999999993914,0.9999446591409163,True,True
71,512,513,8192,0.39308257689569553,arc_00086,1028.409678781236,173.8017447745064,3.8050776669871246e-07,1.9663630373322582e-17,3.805077869209803e-07,173.80181090744887,4.836687402993417e-12,1028.4096787862102,8.797952130668082e-09,1.5291000125871604e-06,0.9999999999951632,0.9999984708999873,True,True
72,513,514,8192,0.3938495672896384,arc_00086,852.0020852328294,176.92058332728632,3.898063279252789e-07,2.017551530850885e-17,3.898063451148601e-07,176.92065229207918,4.007029336648575e-12,852.0020852362435,6.039596520579475e-09,1.0685293560018925e-06,0.9999999999959929,0.9999989314706439,True,True
73,514,515,8192,0.39461655768358117,arc_00086,727.252959237661,180.16130231584327,3.994960846251054e-07,2.070926149683272e-17,3.994960996859772e-07,180.16137428960965,3.420324895136196e-12,727.2529592401486,4.401238713033032e-09,7.929332151166637e-07,0.9999999999965795,0.9999992070667848,True,True
74,515,516,8192,0.395383548077524,arc_00086,634.3692020412068,183.53117931570443,4.0960090730738166e-07,2.1266207577456336e-17,4.0960092079800887e-07,183.5312544902753,2.9834856591352346e-12,634.3692020430996,3.349387709695803e-09,6.147173281347807e-07,0.9999999999970164,0.9999993852826717,True,True
75,516,517,8192,0.3961505384714668,arc_00086,562.5242450161167,187.0380794343308,4.2014660755166524e-07,2.1847801142106355e-17,4.201466198415831e-07,187.0381580177807,2.64559346910483e-12,562.5242450176049,2.634153244003039e-09,4.926871706948901e-07,0.9999999999973543,0.9999995073128292,True,True
