sigma,folded_dimension,effective_cloud_degree,positive_order,real,imag,radius,angle,expected_radius,expected_angle,radial_error,phase_error
0.01,2048,3,all,-0.05694131613607102,0.12782260838817483,0.13993188592477657,1.9898778891267141,,,,
0.01,2048,3,all,0.022253249525213976,-0.11626472290627188,0.11837522083148828,-1.3816820005610466,,,,
0.01,2048,3,all,0.022253249525213976,0.11626472290627188,0.11837522083148828,1.3816820005610466,,,,
0.01,2048,3,all,0.09998349478783511,0.05133352423895865,0.11239141399938345,0.4743258668801829,,,,
0.01,2048,3,all,0.09998349478783511,-0.05133352423895865,0.11239141399938345,-0.4743258668801829,,,,
0.01,2048,3,all,-0.10586230651628237,0.0,0.10586230651628237,3.141592653589793,,,,
0.01,2048,3,all,-0.012826367806245891,0.036219813771830776,0.038423828814515656,1.9111418862861065,,,,
0.01,2048,3,all,-0.012826367806245891,-0.036219813771830776,0.038423828814515656,-1.9111418862861065,,,,
0.01,2048,3,all,0.029862624119967277,-0.02261540487004595,0.037459749822530176,-0.6481661174682214,,,,
0.01,2048,3,all,0.029862624119967277,0.02261540487004595,0.037459749822530176,0.6481661174682214,,,,
0.01,2048,3,all,-0.03516793948632144,0.0,0.03516793948632144,3.141592653589793,,,,
0.01,2048,3,all,0.00968806184103547,0.01538102625048196,0.01817785770528922,1.0087019609479382,,,,
0.01,2048,3,all,0.00968806184103547,-0.01538102625048196,0.01817785770528922,-1.0087019609479382,,,,
0.01,2048,3,all,-0.016528039803385706,0.0,0.016528039803385706,3.141592653589793,,,,
0.01,2048,3,all,-0.008588151224879598,-0.011706756260248773,0.01451910753449656,-2.203722705882316,,,,
0.01,2048,3,all,-0.008588151224879598,0.011706756260248773,0.01451910753449656,2.203722705882316,,,,
0.01,2048,3,all,0.012789149343259358,0.0,0.012789149343259358,0.0,,,,
0.01,2048,3,all,-0.008630591156057486,0.0,0.008630591156057486,3.141592653589793,,,,
0.01,2048,3,all,-0.0033835989654913763,0.007551375250361878,0.008274781576032822,1.9920500883781647,,,,
0.01,2048,3,all,-0.0033835989654913763,-0.007551375250361878,0.008274781576032822,-1.9920500883781647,,,,
0.01,2048,3,all,0.007344459656046991,0.0,0.007344459656046991,0.0,,,,
0.01,2048,3,all,-0.00579370547746504,0.0,0.00579370547746504,3.141592653589793,,,,
0.01,2048,3,all,0.0020115523825732376,0.00245576986940113,0.0031744524944145114,0.884509439825438,,,,
0.01,2048,3,all,0.0020115523825732376,-0.00245576986940113,0.0031744524944145114,-0.884509439825438,,,,
0.01,2048,3,all,-0.0017569785995785268,0.002235563527855468,0.002843363868106667,2.236893991474574,,,,
0.01,2048,3,all,-0.0017569785995785268,-0.002235563527855468,0.002843363868106667,-2.236893991474574,,,,
0.01,2048,3,all,0.0015810190997018105,0.00044876402057574433,0.0016434751412130427,0.2765703970166698,,,,
0.01,2048,3,all,0.0015810190997018105,-0.00044876402057574433,0.0016434751412130427,-0.2765703970166698,,,,
0.01,2048,3,all,6.648146705796122e-05,-0.001249682285508993,0.0012514493997669899,-1.5176477324012645,,,,
0.01,2048,3,all,6.648146705796122e-05,0.001249682285508993,0.0012514493997669899,1.5176477324012645,,,,
0.01,2048,3,all,0.000786978922250301,-0.0006046619331521956,0.0009924474179872683,-0.6551314009106305,,,,
0.01,2048,3,all,0.000786978922250301,0.0006046619331521956,0.0009924474179872683,0.6551314009106305,,,,
0.01,2048,3,all,-0.0006725672633775268,-0.0007241057031885517,0.0009882690894474654,-2.319310361058308,,,,
0.01,2048,3,all,-0.0006725672633775268,0.0007241057031885517,0.0009882690894474654,2.319310361058308,,,,
0.01,2048,3,all,-0.0008638093917568847,0.0,0.0008638093917568847,3.141592653589793,,,,
0.01,2048,3,all,-0.0006713483882221073,0.0,0.0006713483882221073,3.141592653589793,,,,
0.01,2048,3,all,-0.0005302663830026388,-0.00034219914103538694,0.0006310964182025261,-2.5685042839761136,,,,
0.01,2048,3,all,-0.0005302663830026388,0.00034219914103538694,0.0006310964182025261,2.5685042839761136,,,,
0.01,2048,3,all,0.0005303641552399502,0.0002088385095794054,0.0005699997019707408,0.37511930609094896,,,,
0.01,2048,3,all,0.0005303641552399502,-0.0002088385095794054,0.0005699997019707408,-0.37511930609094896,,,,
0.01,2048,3,all,1.1459714870784215e-05,-0.0005330244490123015,0.0005331476233744152,-1.5493002214544476,,,,
0.01,2048,3,all,1.1459714870784215e-05,0.0005330244490123015,0.0005331476233744152,1.5493002214544476,,,,
