sigma,effective_cloud_degree,scattering_coordinate,observed_real,observed_imag,finite_geometric_real,finite_geometric_imag,universal_real,universal_imag,observed_to_finite_error,observed_to_universal_error
0.0005,5,1.0,1.5904708898030748,1.708502471010333e-16,1.5790673400998942,-0.0,1.718281828459045,0.0,0.011403549703180582,0.12781093865597026
0.0005,5,2.0,2.7500558544060683,3.450022841000474e-16,2.691631039958836,-0.0,3.194528049465325,0.0,0.058424814447232354,0.44447219505925695
0.0002,6,-2.0,0.5052037418650348,1.3329899608684774e-16,0.49703116666767055,0.0,0.43233235838169365,-0.0,0.008172575197364251,0.07287138348334116
0.0002,6,-1.0,0.6800134042439546,-5.647997965448595e-17,0.6783466967997408,0.0,0.6321205588285577,-0.0,0.0016667074442138219,0.047892845415396956
0.0002,6,-0.5,0.8152052707514298,1.8801653824824419e-16,0.815378187777295,0.0,0.7869386805747332,-0.0,0.00017291702586519353,0.028266590176696638
0.0002,6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0002,6,0.5,1.2551855088293653,4.504211281959582e-17,1.2516568946104747,-0.0,1.2974425414002564,0.0,0.0035286142188906133,0.042257032570891084
0.0002,6,1.0,1.6109058217591095,2.402098529877992e-16,1.598468666668946,-0.0,1.718281828459045,0.0,0.01243715509016341,0.10737600669993563
0.0002,6,2.0,2.8197977141179855,7.624759606833289e-16,2.75986887357713,-0.0,3.194528049465325,0.0,0.059928840540855344,0.3747303353473397
0.0001,7,-2.0,0.48673924898990434,9.948924970113622e-17,0.48862329214444505,0.0,0.43233235838169365,-0.0,0.0018840431545407155,0.05440689060821069
0.0001,7,-1.0,0.6684111845615051,1.4300945165670114e-16,0.6724509531372648,0.0,0.6321205588285577,-0.0,0.004039768575759717,0.03629062573294739
0.0001,7,-0.5,0.8085722102510557,2.279185140150729e-16,0.8117866626019227,0.0,0.7869386805747332,-0.0,0.0032144523508669254,0.021633529676322594
0.0001,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0001,7,0.5,1.2642938801484411,4.739762543070233e-16,1.257319779064942,-0.0,1.2974425414002564,0.0,0.006974101083499162,0.03314866125181526
0.0001,7,1.0,1.6328661683145687,1.1738352256147998e-16,1.6131259778856109,-0.0,1.718281828459045,0.0,0.019740190428957805,0.08541566014447644
0.0001,7,2.0,2.887860611878135,6.917979744808988e-16,2.8118329045331527,-0.0,3.194528049465325,0.0,0.07602770734498243,0.30666743758719006
